PeriodId,TurnoverRec-92
8,1000
9,500
10,110
11,-4
12,-4.16666666666666
13,-33.3333333333333
14,-29.2035398230088
15,-43.5294117647059
16,-29.0322580645161
17,-27.4509803921569
18,-25.4437869822485
19,-26.6666666666667
20,-26.86230248307
21,-18.3050847457627
22,-19.2567567567568
23,-24.1308793456033
24,-17.4300254452926
25,-19.9341021416804
26,-20.8718626155878
27,-17.5531914893617
29,-27.8301886792453
30,-26.080476900149
31,-27.345629510826
32,-25.1960784313725
33,-24.9208025343189
34,-40.5454545454545
35,-37.4558303886926
Median,-25.1960784313725
Average,-25.1960784313725
