PeriodId,TurnoverRec-61
8,0
9,0
10,0
11,-56
12,-58.3333333333333
13,-61.1111111111111
14,-54.8672566371681
15,-63.5294117647059
16,-61.2903225806452
17,-74.5098039215686
18,-84.6153846153846
19,-89.7435897435898
20,-87.8103837471783
21,-79.6610169491525
22,-83.277027027027
23,-89.161554192229
24,-68.9567430025445
25,-73.4761120263591
26,-73.5799207397622
27,-72.4468085106383
29,-70.125786163522
30,-68.1818181818182
31,-70.7297514033681
32,-75.3921568627451
33,-72.2280887011616
34,-87.2727272727273
35,-82.5088339222615
Median,-72.2280887011616
Average,-72.2280887011616
