PeriodId,TurnoverRec-90
8,0
9,0
10,0
11,-16
12,-25
13,-50
14,-43.3628318584071
15,-43.5294117647059
16,-37.0967741935484
17,-32.6797385620915
18,-31.3609467455621
19,-16.9230769230769
20,-11.0609480812641
21,-9.83050847457627
22,-9.96621621621622
23,-9.61145194274029
24,-14.1221374045801
25,-14.99176276771
26,-16.116248348745
27,-13.7234042553191
29,-25.8647798742138
30,-23.8450074515648
31,-23.6567762630313
32,-20.1960784313725
33,-21.8585005279831
34,-32.9090909090909
35,-28.0918727915194
Median,-20.1960784313725
Average,-20.1960784313725
