PeriodId,TurnoverRec-82
8,0
9,0
10,0
11,0
12,0
13,0
14,-4.42477876106194
15,-8.23529411764706
16,-4.83870967741935
17,-6.5359477124183
18,-4.14201183431953
19,-2.05128205128206
20,-1.58013544018059
21,-1.69491525423728
22,-1.52027027027027
23,-1.22699386503068
24,-1.14503816793893
25,-1.64744645799012
26,-1.58520475561427
27,-1.38297872340426
29,-1.88679245283019
30,-1.78837555886736
31,-1.6840417000802
32,-2.45098039215687
33,-2.00633579725449
34,-3.27272727272727
35,-1.9434628975265
Median,-1.6840417000802
Average,-1.6840417000802
