CoreCLR,Roslyn,Rust,CoreFX,Kubernetes
1,1,1,3,1
1,1,1,2,2
3,1,1,1,1
2,1,2,2,2
1,1,2,2,1
1,1,1,2,1
7,1,1,1,4
8,1,1,1,1
7,1,1,2,1
8,1,1,2,4
7,1,1,1,2
7,1,1,3,1
1,1,1,3,3
1,1,1,4,5
1,1,1,3,1
1,1,1,3,1
1,1,1,3,2
1,3,1,2,1
2,4,1,2,1
1,4,1,2,4
1,3,1,1,1
1,2,2,1,4
1,2,2,1,1
2,2,1,1,1
14,2,1,1,2
1,2,2,1,2
3,1,1,1,3
1,1,1,1,3
1,1,2,1,4
1,1,1,1,4
1,1,1,1,1
1,1,1,1,1
1,1,1,2,1
1,7,1,1,1
4,6,1,1,1
5,8,1,2,1
10,6,1,3,4
4,8,1,1,1
5,4,1,2,2
5,2,1,1,1
2,2,1,2,5
3,2,1,1,3
4,1,1,1,4
6,1,1,1,5
3,1,1,1,1
5,1,1,1,1
3,1,1,1,1
5,1,1,2,1
1,1,1,1,2
2,3,1,1,1
2,5,1,1,1
1,5,1,2,1
1,7,1,2,4
1,4,1,1,6
1,3,1,1,4
1,3,1,1,2
2,3,1,1,3
1,3,1,1,10
1,1,1,1,2
1,1,1,2,2
3,1,1,1,1
4,1,1,2,1
6,1,1,3,3
6,1,1,1,7
2,2,1,1,2
4,3,1,2,1
5,3,1,1,1
2,1,1,1,1
2,1,1,1,1
4,1,1,1,2
2,1,1,1,2
1,1,1,1,2
1,1,1,1,4
1,2,1,1,5
2,4,1,1,3
3,4,1,1,4
2,3,1,1,2
2,1,1,1,2
1,1,1,1,2
1,1,1,1,2
1,1,1,1,2
1,2,1,1,2
1,5,1,1,2
4,1,1,1,3
3,1,1,1,3
3,1,1,1,4
3,1,1,1,5
3,3,1,1,5
2,1,1,3,6
1,1,1,2,5
3,1,1,1,6
2,1,1,1,5
2,1,1,1,4
1,2,1,3,1
1,1,1,2,2
1,1,1,1,2
2,1,1,2,2
4,1,1,2,2
6,1,1,3,3
4,1,1,3,3
5,1,1,1,3
5,1,1,1,5
1,1,1,3,1
2,1,1,1,3
3,1,1,2,4
4,1,1,2,6
4,1,1,2,12
3,1,1,1,12
2,1,1,1,6
2,1,1,1,8
3,1,1,1,4
1,2,1,1,5
1,1,1,1,10
1,2,1,1,8
1,2,1,1,2
1,2,1,1,3
1,2,1,1,2
1,2,1,2,4
1,1,1,1,4
2,1,1,1,3
3,3,1,1,5
1,3,1,1,4
2,3,1,2,5
1,3,1,1,4
3,6,1,2,4
