CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
4,24,3,27,1
1,1,1,11,2
3,2,1,16,8
5,5,1,1,24
20,4,1,1,1
16,7,31,2,1
1,3,57,1,7
1,1,45,1,1
1,3,21,10,1
1,8,1,1,1
3,10,1,1,1
5,5,2,2,12
1,2,4,1,2
3,2,4,1,1
2,4,1,1,1
1,2,2,1,1
3,1,9,1,1
1,2,1,7,2
1,3,1,42,1
3,4,2,150,12
1,20,12,111,2
1,12,80,81,14
4,1,17,75,2
6,1,1,58,1
1,2,1,1,4
1,4,3,19,1
1,1,2,15,1
3,2,10,1,1
1,7,1,1,1
1,10,1,6,1
8,1,1,1,1
5,1,1,1,13
1,6,1,1,4
1,7,19,1,1
1,9,46,5,9
1,19,38,3,13
13,18,46,3,14
1,20,3,10,2
1,9,1,4,2
1,24,1,1,7
1,28,7,1,1
1,30,19,9,1
2,29,35,11,2
3,29,49,6,2
8,54,68,5,5
1,28,1,1,3
17,1,7,5,5
2,10,2,7,15
43,1,2,1,1
31,1,1,1,1
49,4,7,2,1
1,5,14,1,1
2,18,7,2,3
2,15,5,1,20
2,1,1,2,2
3,2,217,5,2
4,1,1,7,1
1,1,6,1,1
27,1,6,1,1
8,1,5,14,3
17,8,2,11,1
12,1,1,7,10
5,2,2,2,28
1,5,11,1,1
2,2,24,1,1
1,1,3,3,71
1,2,1,1,63
9,2,45,3,14
5,1,5,9,2
9,9,20,14,5
3,1,20,37,26
13,2,4,46,26
35,2,8,1,1
26,1,3,1,2
3,1,16,1,4
9,3,40,1,31
19,2,43,1,10
3,1,77,1,1
23,1,1,2,2
2,19,13,4,45
1,7,47,2,40
1,13,61,1,30
1,2,65,1,25
7,10,1,1,1
2,4,23,3,1
2,1,12,25,1
3,1,1,9,1
2,1,21,4,1
1,4,4,8,1
2,1,1,6,9
3,1,4,2,1
2,4,14,1,2
1,2,5,14,2
1,1,4,3,1
14,1,66,5,1
14,1,49,2,4
4,1,55,2,2
1,1,1,1,12
11,7,1,1,10
2,1,1,15,15
1,1,1,12,19
3,1,6,39,1
1,64,5,35,4
7,68,7,16,5
2,82,93,2,1
6,125,18,1,2
19,21,7,1,1
39,71,1,7,1
22,10,1,2,1
2,25,2,2,1
2,1,2,25,7
1,5,15,33,1
2,3,21,2,1
1,5,44,7,2
1,32,1,14,3
1,1,1,10,4
1,2,5,11,23
16,1,2,5,22
10,1,5,6,1
7,1,5,9,2
18,1,1,1,4
3,1,1,1,1
1,8,1,1,1
2,1,10,2,7
4,1,32,1,6
1,2,19,1,10
1,2,11,28,2
20,1,3,11,1
22,4,2,12,58
3,1,1,1,43
2,2,2,6,69
15,1,2,1,23
4,3,4,6,15
10,4,5,1,1
6,1,1,1,4
2,2,1,34,4
15,1,1,46,1
10,7,1,6,1
14,3,4,1,2
8,5,11,3,4
6,1,1,2,5
1,1,12,5,1
24,3,1,2,1
22,5,1,1,4
3,1,79,2,52
3,2,44,3,65
1,8,1,1,38
5,1,3,1,24
11,1,5,2,7
3,2,5,1,3
1,7,5,1,7
1,4,16,1,1
5,6,1,11,3
1,1,2,6,1
3,12,9,3,3
8,1,3,1,2
4,5,2,2,3
10,1,1,5,3
2,2,1,1,1
13,1,14,1,3
3,9,10,1,19
2,2,14,5,12
4,1,2,3,1
4,1,4,3,14
7,1,3,1,80
5,5,14,1,63
4,1,3,6,11
12,10,1,1,1
1,12,1,1,1
5,12,1,2,3
3,3,1,1,11
1,1,1,2,40
1,1,1,1,13
2,3,1,7,4
1,1,1,1,7
2,3,1,1,28
5,1,1,1,30
1,1,1,3,22
3,1,1,1,31
28,13,1,1,6
14,15,1,1,5
5,1,1,1,15
1,12,1,1,27
4,26,1,1,26
2,1,2,63,23
4,1,1,9,9
5,2,1,4,2
2,1,1,1,3
2,2,1,1,3
1,1,1,3,1
6,4,1,1,1
8,6,14,1,3
2,3,22,1,2
1,11,43,1,54
1,1,1,1,10
1,4,1,2,1
1,2,65,3,6
1,4,1,4,11
2,10,4,4,2
1,2,1,1,2
2,7,1,9,4
1,1,16,2,1
2,11,42,2,7
1,17,58,2,53
2,18,35,2,102
1,6,23,1,76
1,1,1,1,1
14,1,2,2,6
8,19,1,15,1
1,25,2,14,5
2,17,5,1,3
1,14,1,1,2
1,19,2,1,6
1,48,4,1,5
1,1,13,1,4
1,5,1,5,16
1,5,1,1,6
5,2,10,57,13
10,1,12,1,5
3,18,9,1,1
10,14,14,1,30
1,4,26,1,21
1,3,9,1,2
1,8,1,7,2
2,7,7,7,1
1,1,6,12,1
1,1,5,26,24
4,2,4,2,1
1,1,1,2,2
2,1,2,1,5
13,1,2,1,11
41,1,9,18,22
5,1,28,27,3
5,1,43,21,1
10,1,27,9,16
8,1,29,1,7
5,3,4,1,1
11,2,1,4,1
1,1,9,4,1
9,1,4,4,1
1,1,22,32,1
2,1,40,48,12
1,1,55,42,2
3,1,49,78,12
1,1,1,53,1
37,1,1,1,3
156,1,13,2,1
97,1,1,4,1
84,1,1,7,1
102,1,11,3,20
1,1,6,6,5
4,1,16,3,2
