CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,3,1,1,1
3,17,30,2,20
2,2,1,1,2
2,1,11,1,36
18,1,21,2,2
1,5,10,1,9
22,9,9,6,9
13,5,28,7,1
4,5,4,2,5
1,6,19,1,1
6,1,6,1,29
1,8,36,3,144
1,10,41,3,2
15,1,24,1,185
1,1,15,1,2
23,99,1,6,253
28,50,1,5,1
1,3,21,2,1
1,1,40,3,1
5,1,1,1,22
1,25,22,4,17
1,25,2,1,3
2,5,20,1,1
1,1,2,3,25
32,2,33,1,1
12,5,13,1,19
2,38,7,2,1
6,11,1,2,41
6,1,14,4,4
2,2,25,3,2
3,1,3,3,2
4,4,1,6,1
2,9,10,2,1
1,15,18,2,11
8,1,1,1,2
16,1,1,17,1
23,10,3,1,1
11,1,18,4,9
12,4,4,2,1
3,6,1,2,1
4,2,3,3,1
1,1,56,3,17
4,2,28,1,88
1,3,21,3,1
8,32,1,25,2
2,5,13,1,16
1,4,1,1,1
1,79,6,2,3
1,44,32,2,1
4,1,4,2,1
22,4,3,1,2
5,3,32,1,98
78,22,1,2,86
1,8,5,2,1
11,11,28,10,2
5,1,55,70,128
31,7,45,2,224
5,1,10,1,2
3,4,4,1,1
1,8,42,6,8
1,1,89,3,56
4,7,1,18,26
1,13,11,5,8
1,14,27,1,10
7,1,2,1,50
2,1,2,1,3
147,2,4,1,18
8,1,65,6,4
1,3,1,2,66
1,1,43,1,6
2,14,14,79,2
2,4,10,1,1
96,2,22,1,1
1,1,26,2,1
1,1,9,5,1
2,3,27,1,5
24,2,1,6,1
3,3,1,1,4
3,3,90,7,5
4,4,8,6,1
1,2,2,3,5
2,1,39,1,1
1,2,31,1,8
2,1,7,1,2
3,4,3,1,2
15,2,2,1,3
1,12,17,15,4
27,7,1,1,1
23,1,13,96,73
1,68,40,2,1
3,25,21,4,7
4,3,8,3,7
2,1,21,1,6
1,2,1,13,1
18,4,34,1,1
16,1,1,2,8
1,1,12,13,4
6,3,49,10,45
6,8,29,7,3
5,13,1,3,1
2,3,3,3,244
15,4,5,37,1
12,2,28,1,106
2,2,45,106,1
1,5,2,1,3
63,1,12,1,1
9,1,4,15,3
1,20,1,2,152
1,1,1,1,1
17,1,32,1,117
6,32,8,2,6
4,8,10,2,1
1,1,4,3,9
1,1,2,2,47
1,1,2,19,92
3,1,2,1,53
9,1,2,3,18
3,2,13,2,1
1,2,4,2,8
233,1,5,1,67
11,4,1,10,1
1,1,1,2,1
1,20,43,1,36
4,2,2,1,3
1,3,84,2,2
11,7,1,6,1
7,2,1,8,1
25,2,34,91,8
1,6,14,1,70
1,14,2,1,2
2,14,5,2,12
22,8,4,3,2
1,1,1,7,1
1,1,12,1,6
1,5,40,3,1
2,1,23,1,2
26,3,1,2,1
1,11,20,5,8
3,1,18,2,17
2,5,21,7,6
47,1,5,1,1
1,99,16,1,7
30,51,47,7,1
3,1,35,1,1
3,1,7,1,1
34,1,5,9,31
12,1,1,8,2
20,1,15,1,14
1,11,55,81,5
2,2,1,1,6
5,16,3,1,2
3,12,10,2,1
4,6,12,1,84
55,1,5,1,28
9,3,49,1,2
1,16,1,1,23
2,1,2,18,1
7,3,2,1,3
3,40,5,3,1
17,1,2,3,26
6,10,6,1,1
22,15,1,1,148
2,4,2,1,1
1,4,8,12,4
8,1,8,1,6
5,1,37,3,48
11,2,1,1,2
1,1,1,4,1
24,1,2,1,1
10,1,2,1,167
1,2,1,1,65
1,7,49,5,10
84,3,1,16,3
1,2,111,1,33
6,8,33,2,91
8,17,22,1,13
1,4,1,9,2
5,4,2,13,2
1,4,12,2,63
1,12,2,111,9
473,2,15,14,58
11,1,72,1,2
2,3,54,2,5
1,9,24,1,1
3,5,15,1,1
27,53,12,1,1
1,51,1,2,2
1,79,9,1,2
1,11,9,5,262
18,1,63,4,1
35,1,43,1,61
26,16,1,6,25
1,1,1,4,2
1,2,16,1,4
6,3,8,8,1
2,8,15,1,24
2,24,1,1,146
2,1,22,1,1
1,4,42,3,1
1,1,2,3,237
1,7,2,1,5
1,2,3,2,20
2,1,13,13,100
62,1,3,1,175
5,163,3,90,67
84,50,7,1,6
2,1,43,1,2
3,19,5,1,19
1,2,1,1,72
20,2,3,1,6
62,3,15,1,34
17,1,1,3,1
1,1,1,1,2
8,3,9,1,1
2,1,1,1,1
5,43,3,1,2
57,21,20,1,4
1,2,31,25,2
1,23,1,2,12
9,1,1,2,1
5,33,1,2,9
29,1,1,1,2
11,3,1,2,25
17,11,1,3,110
1,1,1,6,2
10,1,1,1,7
3,10,1,2,2
6,46,37,1,1
1,1,1,7,2
1,9,109,1,8
3,4,4,11,22
31,21,41,1,4
5,2,1,3,2
1,2,6,1,23
2,37,11,10,4
1,2,2,4,1
4,51,3,12,13
2,28,46,2,1
50,3,39,1,1
1,7,5,4,1
1,1,6,1,13
5,1,23,1,9
31,1,1,1,17
1,1,7,1,15
2,1,12,2,1
1,8,48,30,2
2,2,59,10,1
11,1,9,2,38
6,1,9,2,1
5,1,62,1,3
1,2,1,42,29
429,11,15,20,1
1,3,50,4,1
6,15,2,84,81
1,62,3,56,5
1,9,3,2,43
1,1,19,2,6
1,1,3,1,13
4,8,1,3,1
37,2,4,1,1
1,6,47,2,5
1,82,2,3,164
19,38,15,1,62
39,84,5,4,4
66,1,7,3,35
1,4,1,4,5
2,1,10,2,1
1,5,29,7,20
5,14,2,2,1
4,3,17,7,1
5,6,1,1,2
1,5,1,1,1
1,1,1,1,1
1,2,1,13,179
5,9,1,4,14
2,8,1,19,1
1,6,1,3,45
1,49,54,4,16
5,2,1,6,133
9,2,10,6,118
5,7,75,1,1
23,2,1,1,1
1,3,44,2,1
2,4,1,55,2
1,166,2,1,31
1,91,11,1,194
83,38,1,1,68
6,1,1,6,77
36,1,101,9,5
13,2,68,5,54
78,2,4,1,1
44,1,15,2,120
1,1,17,4,21
2,2,24,1,2
2,3,62,1,43
37,3,62,3,21
1,1,4,1,18
6,8,13,2,1
4,1,86,1,5
16,48,1,4,1
2,2,8,1,14
2,2,65,1,5
73,1,1,1,1
3,9,15,1,1
2,7,1,1,1
45,2,3,16,2
10,1,10,37,258
6,1,2,3,115
44,16,60,3,1
6,2,1,1,64
5,13,7,9,2
21,2,1,1,9
10,18,2,1,1
12,27,7,8,17
4,1,1,1,138
25,1,3,1,1
18,1,6,1,4
5,7,1,1,6
