CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,1,1,1,9
1,1,8,1,5
1,3,1,1,1
1,1,1,1,8
2,1,1,6,4
1,1,3,7,1
1,1,4,3,4
6,4,1,3,2
1,1,1,7,3
2,1,6,2,1
8,1,2,1,1
3,2,1,1,3
1,2,1,1,1
1,2,2,1,1
1,3,1,1,1
3,1,1,6,1
1,1,2,2,1
3,1,7,12,7
2,1,1,4,1
3,2,4,1,1
2,2,2,3,5
6,2,26,2,1
1,2,1,1,6
1,1,5,2,1
1,6,1,7,4
1,5,18,3,2
1,13,17,1,3
1,1,1,1,25
2,1,1,1,15
2,2,9,2,1
1,1,4,5,6
1,3,2,2,1
27,16,3,1,18
1,13,18,1,1
14,1,18,1,3
8,1,1,4,13
2,1,1,1,5
1,1,5,1,1
1,1,22,3,1
2,1,2,1,4
14,1,38,18,9
1,1,7,4,9
6,5,4,3,17
6,1,9,1,1
3,11,1,2,4
4,1,1,3,3
2,1,9,3,11
3,1,1,1,1
4,1,4,3,3
1,5,5,4,2
8,3,1,2,1
6,1,2,2,4
1,2,1,1,1
2,1,1,1,3
5,2,1,2,2
1,16,9,1,8
1,2,19,2,2
2,2,2,5,3
2,10,1,12,1
1,15,12,1,1
2,18,1,5,3
1,13,1,3,1
4,1,1,2,3
1,2,14,1,2
31,1,2,1,9
2,2,38,1,3
1,6,6,5,48
1,1,5,1,1
1,4,5,1,1
1,32,1,1,4
1,2,12,28,4
1,2,3,1,2
11,2,20,1,1
11,4,24,6,1
1,2,7,6,5
3,3,2,1,1
1,3,24,16,2
1,2,9,1,5
1,1,13,1,1
2,2,1,10,1
1,1,1,13,7
3,1,1,2,11
1,1,13,1,1
1,7,3,6,6
15,4,1,12,14
7,1,45,2,2
1,1,1,1,2
1,1,3,1,1
1,1,2,3,1
1,1,7,1,2
2,2,1,1,6
12,6,1,1,2
1,1,1,2,1
1,7,1,1,4
4,1,1,9,2
2,4,1,18,4
1,3,1,2,1
2,1,1,3,1
1,1,19,1,3
3,1,1,2,1
10,1,7,1,20
2,1,2,1,9
1,1,2,4,1
3,1,1,9,1
1,2,6,18,6
4,1,1,7,2
3,6,14,4,15
1,1,1,1,1
1,13,3,1,1
2,2,26,1,1
1,3,1,1,1
2,1,3,8,1
1,5,13,1,4
1,1,1,2,8
6,2,10,1,9
7,5,7,1,6
6,11,10,1,2
1,11,4,30,7
