CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
10,3,4,1,1
3,22,27,1,3
2,2,17,1,4
2,1,11,1,2
7,1,4,17,8
1,3,10,2,3
7,2,3,1,93
1,5,14,3,1
24,4,23,3,378
37,8,6,1,1
21,7,12,5,4
2,4,1,62,1
1,54,12,3,1
10,1,36,2,3
2,45,45,5,262
3,40,19,75,202
1,2,5,1,5
1,1,1,2,1
1,11,1,7,17
1,7,15,14,22
10,2,19,4,46
9,15,2,5,43
1,30,37,3,24
1,19,6,6,1
2,10,8,10,16
1,1,1,46,71
8,9,23,1,2
21,1,1,1,15
46,20,13,1,3
7,9,1,2,1
35,1,7,10,1
5,1,1,1,6
3,1,10,1,2
24,4,18,1,35
5,3,2,1,1
33,2,56,2,3
8,40,11,1,109
3,3,1,1,6
3,6,2,13,1
1,3,12,94,1
1,1,15,1,5
1,33,6,1,1
5,1,1,1,4
2,2,71,5,19
100,11,29,1,1
4,5,31,1,4
1,49,5,2,13
77,4,10,51,2
8,29,8,4,2
1,1,4,1,1
12,1,2,583,8
4,41,16,14,1
5,11,57,1,12
2,6,48,1,4
3,19,10,2,1
1,1,9,1,1
12,1,1,3,1
1,2,14,1,8
1,2,13,2,1
44,12,20,3,15
1,7,56,12,16
1,2,29,163,2
1,6,3,1,1
5,1,1,1,2
4,1,1,1,1
8,3,24,6,25
7,7,24,5,6
33,1,6,1,6
2,78,1,1,2
3,68,14,1,10
2,1,17,1,2
2,12,1,28,9
51,4,3,1,1
1,2,3,4,31
11,7,26,3,1
18,1,1,6,1
60,1,6,1,2
70,2,2,1,177
58,8,48,3,3
1,4,2,8,2
1,1,9,1,20
1,8,2,53,1
13,28,11,1,1
20,1,1,1,1
36,88,3,1,50
1,1,5,3,2
5,19,1,1,28
13,1,19,1,6
12,81,99,19,1
1,1,4,3,4
48,5,16,3,1
12,51,1,1,14
1,1,1,2,63
2,1,1,2,5
12,2,5,6,1
48,1,24,1,9
21,2,1,26,3
2,50,7,3,3
47,1,124,3,1
6,8,1,21,12
3,9,1,1,1
16,8,2,4,15
1,4,7,1,1
16,4,21,1,2
2,9,4,1,1
4,1,5,4,19
9,29,4,1,12
5,28,4,14,4
14,2,13,59,1
2,1,74,2,6
22,4,166,6,3
1,1,1,2,2
4,1,5,3,2
1,1,28,192,112
1,3,36,2,1
36,1,4,1,1
34,1,4,2,215
1,1,54,4,1
1,5,1,2,3
1,13,106,1,1
6,1,86,5,1
1,12,1,10,72
7,24,4,3,1
2,4,9,93,9
60,5,16,13,1
1,1,45,3,3
1,1,79,6,8
13,1,3,2,241
68,60,4,1,3
1,5,93,2,2
4,13,1,2,3
2,1,1,1,142
1,2,18,1,8
1,48,1,1,11
1,58,1,17,1
29,34,2,1,3
8,3,22,1,1
9,2,1,435,43
3,33,119,11,4
3,3,2,6,39
17,2,4,1,64
367,1,1,3,55
1,14,1,1,1
7,12,2,2,20
18,3,25,1,1
2,11,11,11,30
5,2,1,5,1
1,1,12,13,1
6,2,2,5,4
1,2,36,85,58
1,5,85,1,42
6,10,15,3,1
1,2,9,2,2
17,1,1,3,1
11,27,1,2,8
34,1,1,3,1
80,1,1,2,1
2,5,1,32,2
4,1,1,1,1
3,1,1,3,1
3,7,16,4,9
15,3,55,2,2
3,3,2,1,3
9,1,110,12,1
6,20,10,19,1
1,201,2,1,76
1,99,52,4,2
25,1,3,3,11
1,11,2,1,1
14,18,1,1,3
3,2,2,1,2
1,1,15,1,54
2,18,4,2,1
3,3,68,3,4
1,3,5,12,50
54,17,1,1,35
2,5,1,1,17
1,2,213,1,3
27,2,1,1,6
19,2,15,1,50
56,11,1,2,3
3,2,19,29,6
1,24,38,1,1
30,4,14,6,45
3,18,75,4,1
9,12,5,3,16
1,3,126,2,47
1,40,98,21,214
10,6,17,1,2
62,20,52,87,1
130,28,1,2,1
1,5,17,12,6
3,1,90,94,13
12,2,1,5,15
6,1,30,1,3
10,129,1,1,7
2,1,66,5,16
4,1,4,3,12
61,1,6,1,2
5,9,1,1,17
6,1,2,3,72
30,3,8,1,42
1,3,92,2,2
4,14,4,2,6
8,16,6,4,4
33,1,12,21,2
2,1,1,6,1
1,16,1,134,35
1,2,1,1,1
23,1,18,4,1
38,18,1,1,82
1,9,88,1,1
3,1,1,2,3
53,42,2,9,4
69,1,13,4,1
2,3,1,16,62
1,14,11,1,40
