CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,2,5,1,9
49,24,16,2,5
3,2,2,1,6
3,1,21,1,5
1,1,14,1,10
14,1,8,1,24
14,8,9,2,8
3,4,3,1,5
7,4,14,1,40
10,1,17,4,13
14,2,9,1,12
12,13,1,1,1
29,10,11,1,1
13,11,3,1,93
22,27,5,1,86
1,1,30,1,1
1,1,42,1,5
4,3,32,1,7
1,42,7,1,2
1,38,3,2,1
18,2,2,1,11
11,3,12,1,97
1,12,33,2,4
1,6,2,1,8
1,4,8,9,100
10,21,5,5,13
18,26,17,24,22
39,9,6,2,22
2,10,23,1,55
1,8,1,1,54
12,7,28,2,29
34,1,1,4,6
5,19,16,1,6
10,2,2,1,33
12,10,8,4,73
3,1,1,3,5
15,1,12,2,1
1,4,16,3,6
7,5,6,1,4
3,2,22,1,37
1,9,10,3,7
4,30,1,10,8
1,10,1,4,1
8,10,13,1,6
1,4,16,3,1
1,2,4,2,9
1,12,4,1,9
5,9,7,1,11
7,3,55,2,9
2,17,5,1,7
55,9,33,5,37
2,33,21,1,11
1,31,7,1,10
1,2,6,4,6
60,3,7,1,18
5,48,13,9,5
1,14,21,1,45
55,1,19,1,15
5,1,41,1,14
8,1,33,1,1
7,2,5,1,10
12,1,16,5,11
2,17,15,1,1
3,9,8,4,13
12,6,1,4,9
1,3,10,10,40
2,2,1,1,10
10,2,8,1,4
1,10,4,3,11
1,20,11,1,22
1,4,2,3,7
4,1,4,16,5
11,7,52,2,3
3,2,27,1,3
27,1,2,33,5
1,3,1,1,19
9,2,12,1,9
20,3,14,2,3
1,5,7,2,20
6,1,1,2,14
8,1,13,3,12
3,48,25,1,1
43,49,4,1,15
6,2,5,2,3
29,16,7,1,5
17,9,7,1,27
30,2,15,2,3
68,2,1,2,10
60,15,5,1,4
1,2,12,3,3
1,1,34,2,5
1,1,5,12,6
1,4,5,1,16
11,4,24,1,3
13,3,2,8,4
32,5,8,4,7
5,14,15,5,1
15,20,2,1,33
9,28,3,7,7
20,5,1,3,11
1,6,6,1,6
4,40,13,2,8
3,8,7,2,5
55,30,1,3,19
16,1,19,7,9
5,68,30,1,22
2,1,10,3,5
17,9,20,1,31
53,12,3,2,3
31,1,1,2,10
18,1,1,1,3
2,1,1,2,7
46,2,1,1,6
8,4,1,20,1
3,1,1,3,3
3,28,7,1,8
17,7,31,1,94
1,13,4,9,6
19,4,6,3,4
5,1,6,3,1
5,11,6,1,17
2,13,6,4,2
12,4,93,2,1
10,7,6,3,50
19,4,2,3,4
2,3,8,3,6
15,2,7,2,28
1,16,14,1,16
2,1,28,2,7
9,27,16,2,6
1,20,4,9,5
4,7,1,2,5
47,6,10,2,19
11,4,17,1,33
40,1,19,1,13
1,1,74,1,6
7,1,48,1,1
2,1,5,2,14
2,5,4,2,3
13,3,3,1,9
5,1,2,2,7
3,1,6,1,1
46,1,29,1,2
1,2,1,1,13
1,8,7,1,4
14,8,26,1,1
21,2,7,26,13
1,1,8,2,17
7,3,8,2,1
3,1,22,4,5
1,15,9,3,13
2,27,4,2,3
6,6,6,6,1
1,11,1,2,5
4,8,74,2,42
7,13,73,85,5
22,1,11,5,12
5,4,14,22,3
9,1,11,5,3
8,1,5,2,3
3,4,29,1,1
10,2,80,2,11
27,20,3,5,4
189,4,23,2,2
1,3,108,11,4
7,3,6,7,1
24,19,4,4,125
2,1,12,3,1
10,3,8,2,2
1,11,5,6,60
5,38,27,2,1
1,40,4,10,7
1,1,3,1,5
9,26,1,1,1
1,3,6,7,3
1,6,7,8,1
6,1,4,4,35
19,18,2,2,4
11,25,12,2,3
34,3,8,3,2
76,2,1,1,3
4,8,8,82,5
1,4,44,2,1
2,2,10,4,4
1,16,14,10,17
5,3,13,2,82
39,5,1,2,6
4,1,4,1,5
17,7,11,1,8
19,3,6,6,9
1,9,2,4,1
9,4,32,6,3
3,14,1,5,7
1,10,6,1,107
1,8,15,2,10
3,2,3,7,16
1,5,8,18,1
1,10,2,2,8
9,37,12,4,1
1,2,17,2,1
2,3,8,3,40
5,8,12,1,5
3,6,3,2,40
12,2,4,4,1
1,6,37,3,10
1,8,42,2,61
3,2,17,2,63
1,3,10,2,3
1,2,1,1,14
6,25,1,2,12
55,88,5,5,5
2,61,1,2,5
3,3,1,19,4
17,17,1,1,15
15,13,3,10,3
77,3,3,17,6
8,1,3,3,8
6,2,6,2,36
3,18,32,1,53
26,8,4,10,1
2,7,7,1,3
14,4,6,10,11
2,17,7,1,4
1,6,71,5,18
1,15,6,6,19
9,2,16,2,2
1,2,7,3,10
17,2,9,2,6
70,4,52,1,3
69,12,12,4,6
1,7,1,1,1
1,1,1,4,1
2,12,20,1,3
2,15,15,68,1
11,2,4,5,5
9,2,4,1,1
13,15,75,42,18
1,22,10,2,2
1,4,7,1,3
3,3,1,3,7
1,38,79,9,1
2,3,12,3,23
13,6,5,2,3
3,20,8,8,22
7,13,13,7,7
30,3,22,2,2
2,6,6,6,1
9,3,5,1,14
9,22,3,2,21
41,10,26,4,1
11,4,5,4,16
5,35,7,2,7
29,1,6,5,63
31,1,32,4,29
1,5,9,1,10
1,4,1,2,1
53,1,47,4,9
70,24,12,2,8
12,1,4,1,6
9,2,70,1,10
43,5,77,7,6
2,4,14,3,6
19,21,51,10,38
12,23,10,18,9
