CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,1,5,1,1
8,36,44,1,2
6,2,1,1,4
1,1,25,5,1
2,3,13,1,6
10,7,15,15,14
45,4,4,2,137
1,1,6,3,1
1,3,11,1,122
18,3,12,6,1
7,148,10,43,2
42,6,8,1,1
4,1,16,1,311
8,1,68,2,98
1,1,27,2,3
1,32,9,7,6
1,20,9,1,18
46,1,26,6,33
2,1,1,6,16
1,9,49,2,10
1,7,10,2,1
2,1,2,13,3
13,11,7,1,36
41,7,58,225,16
18,5,1,31,3
2,3,8,1,2
3,5,1,6,1
154,1,6,1,4
2,17,6,1,21
2,5,16,2,2
1,1,1,1,2
1,1,12,2,23
3,2,11,1,605
1,2,1,10,1
1,4,2,1,4
4,54,5,5,1
1,3,11,2,2
57,26,1,1,1
3,1,2,1,4
1,5,96,4,14
1,3,26,1,4
40,7,16,1,1
4,3,12,1,4
71,28,6,2,2
26,1,12,26,1
2,29,42,1,1
2,1,26,84,7
1,37,10,19,9
12,17,13,1,5
1,6,9,1,1
10,1,1,3,1
2,5,4,1,1
1,7,4,3,25
5,441,123,1,4
7,1,24,3,4
64,1,1,2,2
2,1,1,10,5
1,5,1,1,2
1,2,9,1,9
43,1,4,1,1
3,1,6,5,192
1,59,1,2,1
1,30,11,1,1
18,7,18,1,4
6,1,3,12,17
100,2,72,4,1
21,1,5,3,1
1,1,2,5,1
1,1,1,1,40
1,2,3,1,58
7,7,23,1,4
1,3,2,1075,1
11,14,153,1,1
4,8,2,44,1
3,1,3,1,7
17,15,1,2,43
1,3,2,1,3
1,1,4,3,2
34,1,5,2,5
2,4,14,1,4
2,1,14,1,1
7,1,1,1,18
27,3,1,1,1
10,23,1,3,5
32,1,1,3,2
28,3,1,1,1
2,3,27,16,22
3,1,6,1,1
18,9,200,2,1
40,1,1,10,5
1,1,3,1,2
1,11,8,5,2
5,37,10,2,153
4,9,18,1,1
17,1,4,7,44
109,5,14,5,1
8,1,74,20,1
1,1,97,2,16
3,1,1,5,1
13,1,1,2,5
8,4,2,2,1358
1,2,31,6,1
1,1,30,1,4
2,1,5,1,116
1,1,4,4,1
4,1,10,2,8
433,2,1,5,2
1,1,194,13,1
1,1,122,1,25
3,5,8,34,4
11,45,2,12,35
1,2,15,4,48
3,4,73,7,45
3,17,8,2,1
1,2,169,1,1
6,1,1,2,5
1,17,105,1,1
12,3,18,1,5
9,1,1,1,19
7,3,1,41,28
3,41,1,1,1
1,26,7,2,2
232,16,41,739,2
1,1,2,11,1
1,1,2,3,8
11,8,17,1,1
1,10,1,3,1
4,3,1,8,1
1,1,18,1,1
4,3,13,1,7
1,1,1,4,2
2,3,19,3,1
3,1,5,15,11
4,1,26,33,1
10,14,12,1,13
20,3,13,2,1
73,3,8,8,1
2,738,1,1,1
1,1,2,2,17
28,4,1,5,1
1,1,1,1,8
1,3,3,1,37
37,1,31,122,12
20,1,2,1,1
1,2,357,3,1
5,97,6,1,37
1,50,3,1,3
5,10,3,3,4
1,3,39,3,40
1,6,1,1,1
1,2,2,1,8
1,1,2,1,10
1,13,1,1,232
39,3,73,1,2
2,1,2,1,4
11,1,1,3,1
25,4,112,7,6
56,2,1,1,14
55,2,15,4,9
4,1,21,3,1
2,1,26,8,8
10,1,37,42,13
40,11,7,3,3
1,2,1,4,1
2,2,143,7,8
1,1,108,4,17
56,1,52,1,19
40,12,5,7,4
2,3,90,4,2
12,1,1,1,34
6,1,1,3,1
7,27,1,14,1
1,1,150,1,27
2,1,1,34,1
1,1,138,2,3
2,3,41,15,1
20,1,2,2,16
1,1,4,2,24
1,12,1,1,1
4,3,2,1,11
29,1,37,1,5
2,1,6,7,6
1,6,4,1,1
13,4,5,5,1
15,1,1,31,5
1,14,1,1,13
1,22,1,1,1
16,4,81,709,6
30,5,1,4,6
17,1,3,1,17
1,1,17,3,3
29,2,1,1,1
15,1,1,5,9
2,1,2,15,1
5,1,16,1,1
6,1,3,1,2
1,1,1,3,1
5,1,1,1,12
8,1,1,6,1
122,2,3,18,1
2,1,1,1,1
1,5,1,1,269
6,3,1,1,29
5,4,1,3,2
1,2,1,22,1
1,33,1,22,5
5,20,1,9,1
1,18,1,5,24
576,22,1,5,1
1,3,40,19,4
2,4,1,1,58
1,14,1,208,3
10,8,784,6,1
1,55,2,1,1
1,90,6,5,1
5,198,6,3,1
1,2,4,1,4
1,67,6,2,1
11,3,18,1,1
10,2,17,3,1
3,4,78,3,1
1,1,1,2,19
2,2,6,4,1
180,3,119,1,14
4,10,2,3,63
2,11,20,2,31
20,2,17,1,6
1,30,2,1,1
1,2,46,10,24
1,1,30,1,1
1,8,36,33,44
2,1,10,1,4
1,11,164,9,1
1,2,161,4,1
1,322,9,1,14
1,61,23,1,2
1,8,7,4,1
1,8,74,4,32
1,1,1,2,7
1,6,202,1,1
1,3,1,3,7
1,3,1,4,5
1,8,37,2,3
6,5,1,2,8
1,9,5,2,3
1,3,1,1,45
1,1,26,1,6
12,1,4,3,14
106,12,7,1,6
1,3,3,22,35
1,36,22,23,4
5,5,2,16,1
61,1,62,5,1
55,4,2,1,24
1,16,4,4,3
27,5,2,1,1
1,1,3,1,1
16,11,4,1,3
2,1,1,1,3
1,1,20,9,3
1,1,5,1,11
6,8,1,1,17
2,3,1,1,3
8,3,1,1,1
1,10,1,1,13
1,8,1,17,1766
13,73,1,4,2
1,5,1,1,5
1,3,2,1,1
3,31,1,1,135
2,11,1,9,1
6,1,2,1,5
1,1,1,2,3
14,1,1,1,8
113,1,13,1,98
20,2,64,1,1
1,2,5,783,28
121,1,29,1,49
24,1,22,1,31
2,1,33,1,7
9,4,4,5,2
22,3,4,1,8
1,4,8,3,1
20,29,19,1,1
1,10,5,2,42
2,30,1,8,2
4,2,18,1,4
1,9,2,1,9
4,2,2,1,24
1,40,20,1,3
2,11,134,9,5
1,3,42,1,22
1,24,6,13,1
47,1,1,1,5
3,3,18,23,3
1,11,45,4,1
1,9,1,21,12
2,37,60,8,3
15,64,14,1,11
24,1,2,8,1
2,153,3,3,3
16,1,30,190,1
24,65,110,1,6
13,2,10,1,4
19,1,5,8,6
23,4,13,1,3
1,1,13,2,24
1,2,1,1,5
32,22,18,1,26
6,7,13,3,2
25,8,1,1,2
1,4,50,39,10
