CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
4,5,1186,1,4
2,2,1050,11,4
2,10,753,5,4
1,6,679,5,3
325,19,664,5,1
1,1,610,1,2
1,1,596,1,6
6,4,539,24,5
12,1,539,7,25
16,2,526,9,1
4,2,430,1,10
5,1,417,1,2
2,1,385,16,1
2,2,369,1,14
1,1,324,1,1
5,3,282,1,1
1,1,249,1,17
1,66,243,1,7
1,3,229,7,8
14,5,216,1,1
15,2,201,1,109
22,2,188,16,1
4,783,182,1,92
3,1,177,7,3
10,12,141,5,1
3,2,134,3,1
2,112,129,1,4
1,3,126,1,3
1,3,124,1,2
1,4,119,2,2
3,2,113,2,4
1,1,111,8,3
54,1,106,8,4
2,2,98,1,1
32,3,94,23,6
2,3,93,1,2
1,2,87,1,108
4,3,86,1,2
3,29,85,4,5
2,1,85,1,82
978,1,83,13,8
1,1,83,3,6
7,1,83,2,6
2,1,82,1,2
1,2,80,9,24
3,18,77,1,25
1,3,76,1,2
9,1,75,12,52
1,2,74,1,36
36,1,73,69,32
1,795,73,1,1
18,1,72,2,4
4,3,72,1,4
43,62,71,2,18
13,4,71,1,88
1,2,71,1,1
2,1,70,1,9
12,3,69,15,1
3,2,68,126,6
2,2,68,6,26
8,1,68,1,8
1,37,68,1,1
33,15,68,1,1
1,1,66,1,4
1,8,65,23,8
25,6,63,6,1
6,3,63,5,4
3,2,62,2,1
26,3,62,1,2
3,1,62,1,1
2,3,61,2,3
12,1,60,9,6
5,1,60,1,9
1,1,57,2,44
7,31,57,1,4
3,1,56,2,6
13,3,56,2,1
8,6,55,1,1
5,5,54,770,5
1,1,54,3,7
1,2,53,1,9
15,40,53,1,5
4,9,50,2,66
1,7,47,1,17
1,1,47,1,3
1,19,46,3,4
6,3,46,1,7
3,10,45,8,1
5,1,45,2,6
1,5,45,2,1
1,1,45,1,4
6,9,44,7,3
11,14,44,3,10
1,1,44,2,17
3,1,43,5,6
2,748,43,4,23
1,2,42,3,5
14,16,41,1,6
6,1,41,1,9
8,5,40,3,4
2,2,39,42,9
172,1,39,1,4
1,2,39,1,22
1,1,39,1,1
12,1,39,1,6
3,3,38,2,3
1,1,38,1,2
6,1,36,3,2
1,7,36,3,8
8,1,35,12,2
1,4,35,8,5
1,12,35,5,20
4,11,35,1,2
1,2,35,1,17
8,5,34,8,1
22,1,34,1,1
49,1,33,9,5
3,3,33,4,4
2,1,33,4,3
2,1,33,1,1
1,26,33,1,3
8,21,33,1,18
1108,48,32,3,3
2,1,31,4,3
1,1,31,2,23
1,1,31,1,11
3,9,31,1,2
2,2,31,1,6
1,8,30,24,6
13,10,30,1,2
2,11,30,1,2
9,7,30,1,2
4,1,30,1,5
52,1,29,11,5
4,1,29,1,4
9,1,29,1,2
8,1,29,1,4
1,1,28,9,3
1,2,28,1,5
2,10,28,1,2
33,7,28,1,2
30,1,28,1,10
1,6,27,12,24
11,87,27,1,7
5,1,27,1,2
7,12,27,1,9
1,3,27,1,3
2,4,26,140,1
1,4,26,7,5
17,1,26,6,15
7,4,26,4,12
29,1,26,3,20
1,8,26,1,4
2,25,26,1,36
9,1,26,1,5
6,2,25,2,2
1,10,25,2,5
16,1,25,1,2
18,1,25,1,2
2,2,25,1,4
1,60,25,1,2
14,5,25,1,3
14,3,24,179,4
2,155,24,101,112
6,2,24,3,5
5,19,24,1,2
5,7,24,1,2
8,18,24,1,2
8,14,23,1,2
2,23,23,1,23
1,4,22,54,2
1,6,22,13,1
4,3,22,9,44
2,1,22,6,5
1,1,22,5,5
2,11,22,2,2
3,12,22,1,31
1,1,22,1,12
1,1,22,1,10
1,4,21,15,5
9,2,21,6,3
1,44,21,2,3
1,1,21,1,5
1,8,21,1,22
1,1,21,1,2
1,16,20,34,8
7,2,20,17,53
14,7,20,4,12
1,3,20,4,1
6,1,20,3,5
1,1,20,2,12
3,1,20,1,3
130,3,20,1,1
4,27,20,1,10
1,5,20,1,1
22,2,20,1,1
1,1,19,26,4
3,2,19,19,16
1,1,19,3,2
2,1,19,2,10
1,3,19,2,14
1,2,19,1,1
1,1,19,1,1
1,1,19,1,1
1,3,19,1,2
1,2,19,1,1
1,3,18,12,5
6,4,18,10,7
1,3,18,6,2
1,104,18,3,1
14,2,18,2,2
68,21,18,2,1
2,8,18,1,35
2,1,18,1,7
4,10,17,10,5
44,1,17,8,1
2,9,17,5,2
1,1,17,2,1
1,7,17,2,3
963,1,17,1,1
1,1,17,1,3
7,726,17,1,1
1,30,17,1,17
8,1,17,1,3
1,15,16,26,1
16,1,16,6,1
1,1,16,2,4
2,1,16,2,5
8,1,16,1,116
6,13,16,1,2
100,1,16,1,2
18,1,16,1,17
47,4,15,13,1
2,2,15,9,67
1,1,15,6,1
1,9,15,6,1
11,2,15,4,1
12,1,15,3,1
1,3,15,3,3
25,1,15,2,3
3,21,15,2,3
1,7,15,2,1
5,11,15,1,1
1,1,15,1,4
1,5,15,1,1
1,4,14,988,41
48,4,14,24,1
3,4,14,5,2
1,2,14,2,1
1,35,14,1,1
11,2,14,1,1
14,3,13,70,1
3,1,13,8,2
13,1,13,7,1
28,1,13,3,13
6,2,13,3,2
24,5,13,2,80
17,2,13,2,1
1,6,13,2,7
16,2,13,1,7
5,7,13,1,4
7,3,13,1,3
1,1,13,1,3
1,26,12,771,1
10,2,12,11,1
2,1,12,7,2
1,3,12,4,112
1,1,12,4,4
4,1,12,4,9
6,7,12,3,1
3,2,12,2,1
3,3,12,1,4
15,1,11,15,1
1,6,11,2,1
2,4,11,2,1
1,1,11,1,40
2,9,11,1,6
4,8,11,1,45
3,1,11,1,1
7,1,11,1,3
1,3,11,1,62
14,1,11,1,57
8,1,11,1,3
1,1,10,13,13
1,1,10,11,3
1,1,10,8,1
184,1,10,3,2
3,1,10,2,20
1,7,10,2,3
6,1,10,1,1
19,6,10,1,1
2,1,10,1,1
12,3,10,1,4
3,1,10,1,5
1,1,10,1,1
1,1,9,21,35
