CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
13,3,3,1,2
3,16,22,1,3
2,1,1,1,6
2,4,18,1,2
53,2,11,12,9
1,5,4,1,4
2,3,7,1,1
4,8,8,4,145
17,2,17,2,1
28,6,6,3,281
10,47,9,1,1
2,1,5,2,5
18,1,34,6,1
3,80,26,1,3
1,42,24,98,200
1,3,12,2,352
1,3,1,3,6
9,3,12,1,1
8,1,22,2,12
1,13,2,38,22
1,54,64,1,44
1,7,1,1,37
7,4,19,1,23
12,2,1,14,1
27,5,17,27,10
9,1,1,4,66
31,16,7,4,1
6,9,4,3,45
1,1,7,10,1
13,2,12,5,4
3,3,1,84,1
47,1,115,1,4
6,2,7,2,40
2,21,1,13,1
1,3,1,2,1
2,6,3,2,55
1,2,10,3,4
2,1,3,4,1
1,10,2,1,1
1,3,75,1,3
5,2,1,15,1
1,18,37,1,3
110,1,23,24,17
2,40,1,2,3
1,3,1,1,3
1,49,3,1,15
80,1,6,7,2
9,81,2,3,1
1,7,13,1,1
9,1,63,1,12
2,2,134,1,1
4,25,17,2,8
3,1,19,70,3
3,2,9,2,1
1,9,10,2,8
5,16,13,527,1
1,9,88,43,12
1,1,33,1,6
11,5,1,1,1
2,2,1,1,12
1,1,17,2,1
1,199,6,1,1
1,92,6,1,68
7,1,1,1,1
6,9,12,1,10
38,2,27,3,2
2,1,2,1,12
1,6,1,7,1
1,2,3,45,12
67,1,16,1,10
2,1,1,1,4
4,1,7,6,2
14,4,41,9,192
21,1,4,1,2
75,20,1,1,1
41,19,2,2,3
1,20,2,19,2
1,1,16,16,23
1,18,1,12,1
1,1,3,4,1
6,68,3,1,45
27,1,1,2,2
1,5,4,3,29
6,15,47,280,3
4,1,1,1,2
10,3,13,3,1
1,19,1,2,9
2,8,1,1,44
1,1,1,1,6
108,7,2,2,5
6,7,24,2,12
2,1,1,1,3
1,1,4,2,1
50,20,147,2,15
13,2,1,2,1
2,38,1,1,10
42,28,2,1,1
2,6,5,2,2
2,1,27,2,1
14,1,3,5,1
9,1,5,20,26
2,1,96,5,3
3,1,206,1,1
10,4,1,1,7
6,1,1,4,2
13,1,3,2,1
23,1,23,11,2
5,1,32,4,189
1,1,3,4,251
1,3,3,11,1
29,8,56,2,2
24,1,1,1,1
1,1,142,9,1
2,21,124,5,44
1,17,1,1,1
7,2,9,53,4
103,4,3,1,1
6,8,28,16,1
45,1,92,1,9
1,2,9,6,146
4,1,103,5,2
2,21,1,3,3
1,11,16,10,250
1,11,1,4,1
4,71,3,1,6
31,82,2,6,1
9,95,12,18,3
5,2,1,138,1
3,3,6,28,28
5,1,92,1,6
5,5,3,5,65
533,13,4,17,62
1,3,2,2,70
14,4,25,1,1
1,20,12,2,8
5,2,17,1,1
1,3,2,4,20
1,2,1,1,1
3,2,29,4,1
1,4,28,3,5
1,3,17,1,19
12,2,6,3,38
1,2,1,27,1
4,26,1,2,2
3,6,1,2,2
9,2,1,1,29
26,3,1,357,2
