CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,17,5,1,5
7,1,25,2,6
2,3,26,11,1
1,5,15,1,9
2,4,4,7,3
106,1,6,1,4
1,1,5,5,76
15,1,11,2,206
9,89,6,10,1
27,9,9,71,1
5,1,4,2,8
1,1,39,2,117
19,1,21,54,1
2,74,26,2,130
3,52,4,17,10
1,2,1,34,23
2,2,16,3,32
6,1,22,2,114
14,17,1,12,45
1,22,47,8,31
1,3,2,11,2
2,1,14,1,24
11,1,18,11,73
10,5,1,50,44
1,1,8,1,77
35,21,6,12,6
1,3,1,1,1
5,1,10,5,1
4,1,14,2,1
52,6,1,5,4
2,2,130,5,35
1,7,9,2,8
12,18,1,2,1
1,6,1,1,1
17,3,1,12,130
1,5,1,3,32
1,1,7,33,1
3,3,3,1,6
2,9,57,1,1
111,6,33,3,4
7,35,22,9,14
1,64,1,2,3
1,1,5,1,11
52,73,10,1,12
3,4,2,1,58
1,1,18,73,10
38,14,41,3,2
2,2,102,1,1
3,15,15,294,5
65,6,11,42,11
1,92,14,1,1
3,12,1,7,22
1,3,3,2,10
6,1,32,1,3
5,1,64,10,5
45,161,26,13,3
5,88,1,3,2
2,3,1,1,63
1,10,9,8,1
60,5,9,4,8
4,4,4,89,4
12,1,1,1,10
21,1,15,1,36
76,1,23,12,12
44,2,3,1,42
1,3,8,2,92
16,2,7,6,2
1,7,33,38,3
11,21,1,1,2
2,10,5,4,22
15,1,40,1,1
18,54,4,1,1
79,29,1,37,1
5,1,10,4,35
2,3,2,12,1
1,19,12,19,62
39,1,1,24,10
7,1,1,26,62
7,3,5,2,1
70,18,9,1,23
3,3,1,17,53
3,3,4,2,4
17,16,72,1,13
4,24,3,59,15
1,23,17,2,12
10,29,1,2,5
12,22,1,1,1
31,2,1,25,16
22,4,1,12,27
5,2,1,6,15
1,1,1,1,56
7,1,51,22,1
64,1,6,3,26
25,1,88,3,27
1,6,1,1,24
1,1,6,7,1
3,1,31,2,19
10,1,34,4,1
100,6,1,23,2
1,1,11,18,10
1,2,1,18,2
8,19,13,5,108
42,40,31,3,1
1,1,73,15,1
2,1,154,8,133
2,9,12,8,1
2,1,30,2,1
10,2,3,10,1
5,1,31,2,9
20,17,2,1,1
9,6,8,1,37
10,1,20,6,17
3,1,50,1,1
1,48,100,25,1
1,55,74,3,4
378,62,11,74,36
1,1,7,24,68
1,8,35,6,1
30,10,78,3,23
1,5,22,15,4
3,4,86,8,6
2,10,1,5,93
1,7,9,54,35
4,1,62,2,15
1,7,1,11,1
11,2,1,3,5
1,2,5,1,1
9,55,2,9,26
2,1,19,36,5
6,8,1,5,35
46,3,6,88,44
93,2,48,47,43
2,1,10,1,1
3,22,3,1,31
24,155,3,5,1
14,65,2,1,1
2,1,28,3,22
60,34,23,9,2
1,4,21,3,2
1,4,31,1,3
1,6,37,2,36
1,4,47,2,24
2,2,26,9,33
1,11,9,9,3
7,18,1,11,11
44,5,1,1,97
4,6,1,32,2
13,2,1,1,1
11,1,2,180,32
56,34,1,15,1
76,1,1,9,11
12,1,1,6,1
18,14,2,17,8
48,1,38,2,14
21,56,4,16,44
1,1,10,2,4
1,15,69,7,13
7,3,22,6,1
52,28,13,28,1
84,46,42,4,5
1,1,60,32,19
21,1,7,13,1
4,10,8,9,63
4,120,4,5,62
1,1,2,1,23
2,1,72,1,14
77,1,2,13,17
1,8,135,36,18
32,13,50,1,3
1,5,11,12,24
7,1,4,12,18
6,61,1,17,3
52,5,18,11,20
4,2,1,22,43
3,2,52,16,1
61,9,30,2,11
16,4,40,27,43
1,50,11,2,210
48,26,3,5,3
54,35,81,4,31
4,3,78,6,1
47,13,51,24,1
15,1,11,1,2
9,1,88,3,9
5,1,5,3,31
11,1,21,6,16
15,1,33,6,1
14,1,1,20,10
18,1,5,4,19
1,1,47,1,32
5,1,6,3,2
6,1,5,1,36
5,15,6,1,2
30,15,36,1,58
14,2,6,7,4
3,3,5,9,17
1,4,2,18,5
2,1,54,2,3
5,30,77,1,2
1,12,4,1,2
39,25,21,2,19
4,8,10,7,38
3,22,1,1,2
1,1,41,6,39
6,3,101,8,1
20,15,5,9,2
1,14,11,1,42
1,25,12,24,30
2,86,35,46,30
4,61,8,8,23
1,7,28,5,21
2,1,20,11,31
4,29,24,3,16
25,10,1,13,18
1,1,1,37,19
4,1,1,26,1
1,18,1,3,10
2,9,3,5,46
2,1,1,1,19
309,7,1,4,10
13,21,1,4,23
1,4,1,3,4
34,3,1,1,31
1,1,1,6,23
1,29,3,4,1
3,1,1,21,1
1,3,3,30,2
1,16,1,11,13
1,1,1,96,44
17,6,1,3,11
1,2,54,36,1
1,191,2,1,2
1,62,3,12,2
1,32,52,1,1
1,14,23,1,1
1,11,17,2,92
2,5,7,1,30
1,4,47,1,3
1,21,13,12,1
11,1,48,9,28
1,15,16,1,8
1,6,95,15,69
1,1,18,34,3
20,7,2,5,1
103,1,9,1,1
2,1,139,19,1
1,14,6,1,1
5,4,7,12,5
45,17,43,1,1
1,5,17,1,1
13,1,35,166,1
8,8,23,18,1
32,32,74,11,1
15,40,37,5,18
2,1,51,5,1
8,29,34,16,13
2,11,117,3,42
1,1,79,27,73
24,5,18,3,33
2,9,2,5,48
2,8,22,3,4
5,37,30,9,36
16,3,82,18,13
3,3,3,3,8
11,4,6,1,1
20,13,25,25,10
121,52,9,5,7
26,63,53,1,33
3,40,1,2,24
1,2,1,1,23
81,31,18,3,3
11,17,3,7,9
23,1,86,26,2
5,1,48,1,4
7,1,6,2,26
21,1,6,2,14
31,3,4,1,29
2,1,43,1,9
5,1,9,28,11
2,8,100,2,8
37,9,17,9,10
1,8,56,2,13
2,1,58,12,19
3,30,15,1,8
45,20,31,1,5
36,22,1,1,29
10,9,64,4,8
7,14,52,44,14
2,26,1,35,10
5,5,1,4,31
1,16,4,4,1
63,1,1,3,21
6,2,1,1,3
7,27,5,20,1
2,2,31,82,1
3,2,1,13,5
39,1,1,11,4
22,4,8,1,39
2,11,1,5,4
71,19,130,7,9
39,23,12,7,1
20,114,2,2,1
1,1,8,3,10
26,56,39,15,2
23,1,30,1,14
26,11,14,3,8
2,10,5,8,17
1,4,5,4,5
1,15,2,5,6
41,8,6,2,19
13,1,22,11,88
30,32,4,5,4
1,10,2,16,13
1,8,18,6,9
15,22,4,6,1
3,48,57,4,1
7,26,37,2,39
1,4,33,1,25
3,7,6,1,22
10,7,6,5,8
14,3,25,11,5
4,6,35,11,6
12,1,5,1,136
2,189,86,1,3
2,41,2,1,4
8,9,6,25,31
50,60,53,2,37
1,1,1,34,30
1,2,32,11,17
6,4,10,18,35
8,16,2,25,14
3,12,12,3,1
7,10,19,4,6
29,1,181,7,1
18,18,19,25,66
1,1,1,8,1
1,12,1,16,3
1,14,51,10,21
2,1,3,1,10
277,4,1,6,25
13,6,71,2,19
5,22,14,1,17
1,1,45,1,39
19,17,5,17,1
28,1,7,1,28
2,2,3,2,41
14,4,8,1,2
3,5,25,2,1
1,24,85,2,2
13,36,16,17,16
5,2,6,5,33
3,4,22,5,3
1,1,7,1,11
2,20,12,13,17
3,3,26,3,7
1,11,49,32,6
1,1,29,10,5
4,3,9,1,26
4,39,7,45,10
2,22,38,10,20
1,55,1,19,6
1,20,12,5,11
1,34,23,1,1
44,1,1,13,7
1,2,3,5,5
1,85,6,1,5
6,51,39,3,56
1,7,2,11,37
16,39,1,8,64
17,26,3,11,33
81,1,51,1,3
6,2,1,1,14
10,1,6,1,14
4,3,15,12,11
3,1,13,1,13
2,1,8,1,4
5,1,1,1,19
31,1,4,1,17
14,1,64,1,38
1,1,4,1,1
36,1,14,4,4
13,1,1,15,5
1,1,1,19,7
9,4,42,4,5
3,18,14,3,94
5,6,95,2,1
9,16,7,3,28
1,13,1,14,2
1,5,19,17,1
2,16,46,1,31
1,5,3,2,152
1,1,2,1,287
2,1,4,251,5
28,1,1,12,1
14,2,12,1,13
2,9,1,1,5
2,4,17,6,26
88,1,72,4,37
1,1,174,24,6
18,2,1,1,1
1,2,30,31,63
65,54,21,2,3
11,28,1,7,38
19,3,25,2,7
5,1,7,5,8
14,71,14,8,23
1,38,19,8,36
3,3,61,10,28
1,1,1,22,13
23,1,121,5,4
42,2,83,1,6
3,30,2,1,22
5,2,24,3,2
1,6,18,5,64
3,1,32,4,4
19,8,85,16,18
1,1,1,1,3
1,2,39,1,4
28,3,91,11,1
1,3,5,2,9
5,13,5,1,3
6,6,36,22,11
59,1,1,14,12
6,2,2,28,1
2,2,1,15,2
1,1,22,1,6
29,11,21,2,11
1,42,9,2,29
15,2,4,30,59
3,5,42,2,18
1,1,23,19,1
27,7,1,4,47
8,3,11,1,1
1,3,1,8,1
15,4,1,2,11
11,71,4,33,9
1,53,35,2,22
6,1,75,6,11
22,53,1,3,19
11,2,41,2,8
20,1,30,4,1
9,4,4,3,1
4,20,19,6,29
1,4,33,1,3
3,2,21,2,1
6,5,13,9,18
1,1,1,12,37
14,21,1,7,4
4,6,1,1,1
9,2,1,1,1
2,82,1,52,26
3,2,1,2,35
2,4,1,2,34
5,3,1,14,6
1,6,1,2,2
36,154,1,2,6
1,95,1,30,2
4,24,1,1,1
1,1,1,5,1
19,1,60,2,15
6,3,9,5,2
4,1,7,1,25
21,2,10,1,10
70,8,91,21,6
11,7,1,15,16
3,1,18,3,6
8,4,5,12,14
2,1,59,117,13
192,37,113,7,31
10,1,8,14,1
3,1,21,33,1
10,1,2,1,3
25,8,91,9,5
1,7,2,14,2
2,1,154,14,7
8,1,44,1,5
8,90,19,3,8
3,1,4,1,1
1,42,1,19,10
11,3,39,17,10
1,30,2,22,2
1,55,119,3,20
5,1,67,1,38
4,1,51,15,11
1,1,30,19,3
1,4,1,8,2
1,8,109,1,12
1,1,83,1,1
1,29,43,11,45
1,18,1,5,31
1,8,36,15,1
1,15,108,10,1
1,42,8,2,1
10,1,1,40,40
35,2,23,14,1
1,12,14,6,1
5,1,4,16,10
25,55,125,11,12
13,60,7,3,1
1,20,10,1,1
3,1,2,2,2
1,1,17,16,1
26,2,41,6,11
2,1,81,1,15
1,1,1,1,2
76,1,38,16,1
1,1,18,1,2
1,14,6,1,27
1,3,23,8,1
3,1,121,1,17
3,1,1,1,1
16,4,10,3,2
26,1,15,1,12
12,1,26,2,1
17,1,18,2,1
2,11,9,25,1
18,21,44,6,1
5,2,57,1,15
11,1,22,1,3
1,28,1,4,1
18,28,5,20,3
5,1,1,5,2
1,4,1,3,1
13,1,3,5,1
9,2,6,58,1
18,1,1,1,7
1,12,1,11,5
5,1,9,5,1
37,5,2,2,1
7,5,2,1,10
44,13,10,7,6
5,55,1,23,2
3,75,1,3,4
9,45,21,1,20
1,7,1,2,1
3,14,1,11,32
5,31,44,6,1
6,11,25,15,1
1,9,14,6,1
1,4,8,1,37
146,1,11,9,6
8,8,13,1,291
1,1,57,1,19
1,8,1,1,56
2,11,55,1,47
1,1,6,1,8
3,1,1,3,15
1,29,21,1,3
4,2,78,41,6
39,2,4,1,4
1,25,1,10,1
2,1,25,1,5
27,10,1,7,13
3,4,23,6,12
2,2,1,1,8
46,12,1,1,16
1,134,49,5,1
2,50,24,28,2
1,3,54,1,1
2,26,20,2,2
1,6,1,40,1
1,3,59,24,13
9,9,66,12,16
1,4,20,1,2
2,16,30,8,13
53,7,33,1,7
9,2,35,29,5
2,6,1,1,1
9,7,8,10,21
42,1,4,3,12
3,2,22,2,2
4,38,11,1,10
13,1,43,4,32
20,2,21,1,8
61,1,10,4,1
47,21,1,2,4
3,13,23,2,6
8,1,59,3,5
23,53,14,7,25
12,13,3,13,22
10,1,4,6,3
8,17,8,11,43
12,2,20,6,7
120,34,35,1,38
3,55,16,15,1
1,1,1,11,8
21,1,1,5,29
3,9,18,46,1
11,4,1,1,9
2,1,22,2,14
37,100,8,1,7
2,1,1,3,21
11,6,1,1,4
5,1,30,5,14
7,4,25,11,1
2,17,5,17,5
6,4,4,7,7
14,1,9,6,37
21,1,13,5,1
5,58,22,6,14
40,3,16,34,1
2,4,2,2,4
9,7,11,9,8
3,3,1,3,9
2,61,22,7,5
3,29,1,3,12
59,2,29,67,3
1,10,38,1,43
2,2,21,14,6
2,1,1,2,2
3,6,1,5,25
23,1,5,16,1
6,1,15,9,37
3,1,26,247,8
6,4,20,11,1
8,1,49,70,1
16,1,2,4,5
8,1,32,7,11
3,2,7,6,18
1,1,14,32,17
5,5,3,1,28
253,1,2,1,27
3,1,6,1,11
40,14,3,4,10
4,18,92,2,4
1,3,6,1,34
4,1,1,18,143
1,1,26,23,13
2,4,15,2,1
1,1,1,9,16
1,12,49,1,41
3,5,24,3,26
1,15,44,3,3
42,3,4,12,20
1,1,9,28,67
1,11,3,2,30
1,2,1,10,5
2,2,4,24,2
1,18,69,12,2
1,18,126,2,208
3,31,13,31,11
1,72,8,21,23
17,52,22,4,7
81,1,1,8,11
1,22,9,10,25
4,6,28,1,4
1,5,64,1,15
2,4,37,22,15
33,5,3,13,6
26,3,8,2,12
6,12,61,1,2
59,13,1,1,8
1,2,8,2,17
3,13,22,1,9
2,1,1,1,4
2,9,41,9,19
2,1,1,4,10
1,1,3,1,6
4,1,11,3,27
10,12,2,1,20
2,1,48,1,6
26,1,2,1,6
6,147,2,27,7
15,40,2,37,15
89,2,1,1,2
3,27,11,5,1
181,1,7,8,2
4,2,6,16,10
5,9,8,1,16
91,5,1,1,1
13,2,14,8,16
30,2,60,2,11
3,6,6,3,35
2,8,14,9,4
1,6,52,69,1
15,5,7,1,4
58,2,63,1,16
109,2,14,46,55
1,4,6,3,10
15,6,25,1,10
1,2,49,1,25
9,1,17,13,12
1,26,5,1,4
6,5,7,31,11
107,21,7,1,1
48,44,93,8,6
12,1,1,1,2
9,4,151,4,18
54,6,10,11,1
6,1,24,6,21
13,2,2,1,1
1,17,21,1,12
89,3,3,40,11
35,1,23,2,1
1,24,21,1,2
64,27,49,2,6
2,6,11,1,3
69,48,2,2,2
3,30,98,1,260
5,1,51,1,8
2,11,1,1,2
69,14,32,1,41
11,2,6,8,20
32,1,21,1,9
9,7,54,11,1057
11,5,2,1,2
24,2,25,1,6
2,1,60,1,14
54,1,2,6,6
5,17,4,1,1
6,7,36,2,43
28,45,2,1,12
35,3,5,19,2
12,6,2,1,24
2,3,19,1,3
3,1,12,1,1
1,6,6,5,14
24,1,4,9,14
1,6,45,2,1
92,22,30,39,2
4,6,12,2,1
2,2,9,242,33
5,9,26,34,3
16,28,1,36,1
3,87,67,1,4
2,1,26,3,10
1,44,20,1,2
1,16,4,7,2
2,8,16,3,2
5,5,49,16,4
2,10,17,20,19
6,1,17,34,12
68,3,1,75,1
28,18,1,6,2
11,3,2,2,10
26,2,1,11,25
2,1,4,1,56
422,13,1,1,23
24,5,3,3,14
1,10,1,49,20
33,10,45,1,11
8,1,2,3,46
3,5,11,1,14
1,4,56,4,1
1,1,18,23,1
4,3,9,14,1
7,134,23,2,2
1,39,56,6,11
1,1,2,36,7
1,40,9,5,11
28,2,9,9,1
3,7,53,1,4
1,11,13,5,4
20,7,1,1,20
28,16,2,2,12
6,2,98,4,8
16,21,9,43,4
1,1,28,2,7
124,2,12,4,26
3,10,14,1,16
2,9,12,3,19
2,4,64,28,34
15,18,25,10,11
1,1,44,7,3
1,6,16,1,46
1,1,67,17,14
19,2,49,3,19
14,7,20,3,30
2,1,1,3,15
7,9,4,3,12
2,23,7,17,37
24,45,72,1,7
9,2,1,11,19
1,1,27,10,34
1,41,3,9,2
2,1,2,1,30
9,1,40,26,13
1,5,2,7,15
6,1,6,2,8
2,32,4,3,1
1,27,1,27,13
7,39,11,1,8
10,24,26,2,19
3,35,39,7,20
102,5,4,1,12
11,2,13,1,4
3,53,17,41,43
72,11,2,66,7
1,14,56,20,1
11,1,5,13,19
20,1,30,13,1
1,34,20,10,24
1,16,15,20,1
11,1,11,28,7
41,1,11,18,6
1,1,3,2,10
3,3,41,7,11
34,1,10,1,14
3,1,2,13,22
1,4,1,3,1
25,1,1,8,23
18,1,4,19,4
5,1,3,42,1
1,1,1,8,7
2,1,1,90,10
2,11,2,10,58
34,7,3,42,31
10,13,7,1,7
6,4,1,12,20
1,13,1,1,8
4,1,18,1,2
32,5,1,4,39
13,10,1,1,4
2,4,1,13,1
37,3,28,10,15
2,2,4,41,4
14,1,4,3,25
11,2,42,1,11
24,11,36,1,12
18,2,20,20,2
28,1,3,161,1
3,1,3,15,8
14,1,5,9,30
14,2,1,1,1
16,2,8,3,2
1,33,28,2,18
17,14,52,15,18
1,5,1,1,32
1,1,11,2,20
1,61,13,24,4
1,41,17,4,3
3,1,3,7,8
4,1,42,16,14
1,4,50,1,3
7,5,23,26,6
18,1,5,5,9
4,1,4,1,1
13,1,1,5,1
2,2,12,2,7
2,6,27,1,2
9,9,1,17,20
1,2,2,12,43
54,7,12,2,3
1,2,39,1,59
2,1,3,1,55
1,4,40,1,2
1,6,1,1,7
1,10,1,19,3
4,1,4,5,5
1,15,4,13,7
2,2,5,8,1
1,1,5,33,1
1,1,2,4,14
29,1,2,26,3
5,2,87,24,1
1,1,7,6,1
2,3,17,16,10
188,23,1,4,1
8,25,1,15,3
1,6,1,13,1
8,2,1,2,15
10,4,32,3,367
6,4,9,2,5
4,3,1,6,4
12,46,79,3,2
2,1,2,20,2
2,35,21,1,1
1,40,43,3,1
1,1,5,1,20
21,4,1,1,1
1,1,6,3,9
1,2,10,1,1
1,5,68,4,1
8,2,121,24,2
20,2,7,2,1
1,1,12,1,1
5,7,1,2,1
62,3,43,1,6
5,2,2,4,7
1,32,13,9,1
1,1,47,7,3
2,1,1,1,1
1,1,90,9,3
1,10,74,1,17
44,4,1,26,1
3,95,4,54,1
22,62,25,5,11
1,8,48,3,1
7,11,1,24,1
1,3,13,4,1
2,1,74,12,8
4,1,3,27,2
2,1,37,22,13
1,9,1,7,1
1,4,2,4,1
1,1,3,3,1
1,12,12,4,1
2,1,1,4,4
8,2,10,13,1
1,2,73,3,1
1,23,7,26,1
80,2,1,25,1
9,1,8,5,18
44,2,2,93,1
12,3,3,2,5
8,29,15,28,1
5,27,18,1,1
1,1,1,14,10
16,44,17,3,24
40,27,10,1,15
1,1,17,4,1
6,2,74,12,18
7,6,13,12,6
1,2,24,1,2
16,44,1,1,2
1,1,1,1,4
33,5,1,2,6
7,11,1,1,7
17,6,1,15,71
52,52,1,25,4
7,1,2,3,20
4,1,3,19,11
40,28,1,1,1
3,38,3,1,13
19,3,56,10,1
2,1,10,167,2
30,15,63,13,12
6,2,12,3,8
1,3,12,4,49
1,22,21,1,5
5,3,35,12,32
13,1,25,8,1
1,1,1,2,11
2,1,5,25,8
3,3,4,4,5
13,1,74,3,50
3,1,2,3,3
8,1,122,9,5
15,1,8,1,10
1,17,15,27,7
9,15,14,4,11
2,3,3,2,3
4,1,31,1,3
3,28,16,1,7
15,16,33,1,9
1,1,4,4,13
4,2,1,38,5
5,32,74,1,20
1,8,57,1,3
1,20,26,2,1
1,37,18,29,4
1,66,48,1,20
4,52,4,6,1
1,16,19,8,21
2,14,30,1,4
66,18,2,16,4
9,7,1,1,54
2,1,40,37,5
1,15,1,29,1
160,3,12,1,1
20,16,2,3,12
11,2,20,5,32
16,11,5,19,1
1,6,4,60,17
1,1,3,1,3
22,2,38,8,9
1,2,51,1,21
1,1,1,2,3
2,2,22,2,3
8,10,4,11,7
1,8,1,5,3
1,12,21,1,3
4,3,1,5,2
1,1,1,14,14
4,1,65,1,7
1,12,21,12,15
1,74,1,1,10
47,47,23,2,12
2,4,2,1,3
12,21,15,17,27
1,10,29,1,2
27,18,10,1,9
2,2,40,6,23
62,7,1,4,30
1,1,1,2,3
2,14,1,18,18
33,14,1,1,1
1,1,1,6,5
3,1,1,27,1
3,1,1,2,20
34,15,4,1,21
29,2,1,1,9
1,36,1,2,4
2,1,1,3,17
47,15,40,2,46
13,6,1,2,19
9,2,4,3,25
34,13,65,23,13
2,1,13,14,20
3,31,26,1,27
21,40,48,2,23
2,29,12,9,21
38,1,63,42,3
13,20,7,2,7
1,1,3,20,111
1,2,4,40,10
5,8,131,1,11
1,109,19,9,8
48,3,18,22,1
2,31,5,10,35
15,4,1,21,4
2,79,25,4,6
1,2,5,6,11
10,1,60,8,44
8,10,28,3,1
20,5,34,1,6
1,29,21,9,27
1,26,1,2,18
1,11,76,5,3
39,1,67,5,1
17,7,29,7,12
1,1,2,7,14
1,1,16,11,10
137,1,1,3,13
1,1,12,14,19
19,1,64,4,17
2,1,1,44,3
3,1,26,5,14
8,3,8,17,1
8,2,1,3,1
261,1,38,14,13
17,12,2,15,12
1,28,11,1,2
1,1,1,1,2
12,20,9,22,7
1,1,31,8,10
18,11,30,11,23
15,33,6,1,14
56,7,2,1,5
3,8,13,1,2
3,7,2,8,50
13,4,12,3,1
44,20,2,1,14
1,2,76,1,2
9,1,1,1,8
1,2,18,1,12
1,6,36,1,4
7,6,40,2,1
1,29,6,2,3
9,99,11,2,18
32,70,1,8,1
36,2,49,21,12
1,17,9,1,3
8,11,3,2,2
27,6,1,11,4
1,8,3,1,3
2,2,1,1,4
1,11,2,1,13
19,22,5,1,174
12,1,17,17,5
50,15,3,1,30
35,23,1,14,17
3,1,57,1,2
2,2,,1,16
1,1,,242,142
1,6,,1,3
39,1,,11,1
21,4,,10,28
4,140,,3,8
5,44,,1,3
16,3,,2,3
7,30,,26,12
1,7,,20,18
79,2,,1,19
7,3,,3,15
1,5,,3,17
21,1,,2,1
38,6,,8,2
6,10,,9,33
3,1,,3,6
28,1,,5,19
4,14,,1,1
5,13,,33,1
3,1,,8,1
6,2,,13,4
23,4,,6,1
14,15,,26,166
1,3,,1,1
4,22,,1,31
20,29,,9,1
3,1,,1,2
7,5,,2,6
1,1,,42,13
5,15,,1,11
1,1,,15,48
1,2,,32,2
3,3,,1,1
2,1,,14,18
28,21,,1,24
1,3,,2,1
1,6,,1,32
1,15,,26,4
19,21,,4,1
4,9,,33,1
3,24,,2,1
3,31,,1,14
1,1,,3,10
7,34,,11,1
5,13,,1,1
3,4,,6,5
203,1,,5,1
18,1,,5,1
2,2,,5,14
1,2,,2,1
1,1,,11,12
2,1,,3,10
1,1,,1,21
5,11,,11,19
9,2,,2,15
8,1,,2,11
1,21,,65,65
1,12,,1,1
1,1,,1,11
1,1,,2,29
1,12,,11,6
1,7,,1,15
1,4,,1,17
18,1,,3,10
69,5,,30,1
2,6,,2,4
4,13,,3,24
2,17,,8,10
1,3,,2,2
22,1,,3,1
9,1,,4,14
43,56,,1,8
2,20,,2,10
2,2,,20,10
4,1,,25,30
1,82,,1,4
4,77,,1,41
12,1,,3,9
9,1,,33,9
35,5,,2,5
73,1,,125,1
12,1,,4,6
2,1,,6,3
43,31,,38,2
6,15,,2,30
25,11,,9,1
7,1,,13,15
1,1,,20,6
15,3,,3,20
35,4,,4,7
65,1,,22,8
1,16,,15,21
17,3,,12,17
64,12,,1,42
1,2,,3,1
34,2,,16,3
6,1,,18,5
1,1,,4,25
10,2,,1,6
35,1,,15,1
4,3,,2,1
5,17,,11,5
48,23,,17,9
16,1,,4,15
1,12,,36,1
82,2,,22,7
1,7,,2,5
42,1,,1,7
5,3,,20,10
36,2,,20,8
1,38,,8,9
7,40,,2,1
7,58,,1,10
2,2,,16,6
4,10,,3,4
9,1,,1,5
13,4,,3,4
1,3,,16,27
11,1,,3,4
4,13,,1,33
10,9,,1,1
2,2,,3,21
15,37,,1,1
1,1,,1,44
1,3,,1,6
3,1,,1,33
11,1,,1,4
64,8,,1,18
1,137,,2,9
4,86,,1,1
1,1,,21,2
11,7,,1,2
1,1,,9,3
2,2,,1,2
1,1,,1,3
5,1,,1,1
4,2,,15,1
33,1,,4,4
21,5,,6,15
3,19,,59,365
21,1,,1,1
1,1,,10,10
2,4,,10,1
1,1,,5,1
222,24,,6,1
16,1,,12,1
2,1,,4,1
25,1,,8,1
4,2,,1,8
3,20,,2,17
1,4,,1,1
4,15,,1,1
8,2,,2,5
11,21,,1,1
1,20,,1,2
6,1,,3,8
1,2,,2,1
1,8,,4,1
2,1,,2,1
4,79,,9,1
14,1,,9,2
1,1,,1,1
15,5,,6,1
70,2,,47,1
1,3,,2,4
1,54,,36,1
10,3,,32,4
10,24,,18,4
1,21,,2,15
2,40,,3,11
5,12,,1,20
6,1,,36,27
4,1,,5,6
2,1,,2,1
15,2,,1,15
1,2,,1,1
12,1,,15,9
5,21,,1,1
7,4,,1,37
3,4,,2,2
1,1,,4,12
2,26,,3,4
2,15,,17,1
9,4,,3,21
2,2,,12,40
75,22,,12,6
8,7,,1,4
25,16,,25,11
1,37,,2,15
13,73,,53,5
18,62,,2,4
2,3,,11,45
3,14,,19,8
1,26,,4,8
14,3,,3,4
28,2,,7,5
5,13,,43,2
4,1,,4,1
21,14,,14,16
1,6,,1,1
2,3,,21,18
1,5,,86,26
27,9,,9,18
1,1,,2,2
2,10,,8,4
5,19,,2,17
36,1,,4,25
14,4,,164,11
7,1,,11,43
3,6,,77,5
2,91,,2,39
1,43,,1,2
24,3,,1,3
1,41,,3,3
19,2,,2,1
1,2,,3,32
3,1,,5,4
29,6,,13,105
2,1,,39,240
17,14,,1,12
6,20,,4,2
1,3,,2,2
18,9,,6,1
5,10,,3,47
5,35,,4,109
2,1,,27,2
8,10,,27,4
19,4,,15,185
7,1,,1,44
15,16,,55,56
1,35,,32,48
13,1,,1,105
1,25,,2,58
3,43,,12,35
3,2,,1,2
5,5,,1,4
7,3,,4,43
21,5,,2,30
2,3,,3,86
