CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,2,3,1,2
38,15,22,1,2
3,2,24,1,6
2,1,13,8,3
1,1,2,2,12
44,4,5,5,3
1,3,7,3,4
6,4,17,1,1
3,2,3,1,116
11,4,7,3,1
37,4,4,4,237
4,7,49,1,4
1,19,20,9,1
8,1,27,77,1
2,1,7,2,1
2,96,1,1,2
1,53,5,2,176
2,1,24,1,3
8,3,2,38,204
21,3,72,1,8
1,1,3,2,1
1,17,18,14,20
1,53,12,31,21
2,10,1,3,88
9,1,9,9,55
15,5,6,14,33
2,1,5,10,1
15,19,9,1,25
29,8,1,1,98
3,1,120,9,1
2,1,7,47,2
5,4,1,2,36
2,2,1,13,3
24,4,1,10,2
3,35,1,4,2
2,5,7,2,3
1,6,2,1,30
3,21,1,1,9
1,3,61,7,3
3,10,37,1,3
1,4,24,1,1
4,23,2,26,90
122,28,7,2,26
2,1,2,27,1
1,44,11,2,1
1,3,41,1,1
106,1,161,1,5
5,16,25,12,1
52,1,10,3,11
2,1,19,1,38
2,2,1,1,3
1,2,7,2,6
1,6,23,38,15
2,9,94,3,1
1,1,30,1,2
4,1,1,353,1
1,1,1,1,1
1,5,5,22,6
1,1,10,1,6
1,1,6,5,7
5,142,9,30,6
3,86,15,1,1
17,1,2,3,2
1,8,1,1,10
2,1,3,17,3
1,2,25,3,30
45,7,1,2,4
2,2,8,111,4
1,1,37,1,2
20,4,4,1,2
11,10,1,1,2
102,22,2,3,1
54,23,7,8,34
1,1,1,23,1
1,32,2,1,8
1,135,4,1,3
1,1,1,2,1
18,6,6,1,8
1,46,69,2,3
5,1,3,38,17
3,1,14,6,1
10,1,1,6,55
3,3,1,1,2
159,26,1,1,139
5,1,22,28,3
2,8,4,14,1
3,2,125,4,1
48,22,1,1,1
16,9,4,25,26
3,2,1,1,2
37,1,24,59,1
4,16,2,1,1
2,2,8,18,70
13,36,88,1,3
4,51,202,2,27
2,1,1,1,6
1,2,1,5,5
1,4,4,2,1
9,2,25,1,1
3,1,10,30,13
16,1,3,2,48
15,5,2,1,6
4,2,100,1,1
1,1,2,3,1
1,1,151,5,20
46,1,105,25,3
28,6,1,44,1
1,5,1,11,15
1,17,6,1,4
2,38,15,1,15
3,1,17,4,1
1,10,76,19,3
7,2,3,24,2
2,1,5,1,24
1,4,117,2,1
131,43,1,8,3
1,15,1,11,1
4,1,2,1,15
15,3,20,4,3
1,42,1,1,3
2,94,1,31,136
1,37,1,7,1
1,1,8,114,1
1,5,1,1,210
15,2,74,1,1
11,23,3,4,2
7,3,3,2,1
3,2,1,15,1
1,3,3,1,92
9,8,32,5,2
1,1,7,11,1
384,5,11,4,1
1,1,4,4,9
1,3,30,2,131
13,6,57,12,3
2,5,11,3,1
2,1,7,1,3
2,2,1,2,5
4,41,1,4,1
10,2,1,10,144
1,7,1,5,7
1,4,1,3,8
4,15,1,150,1
2,1,3,20,4
11,1,71,1,1
20,17,1,6,1
216,173,82,1,40
3,56,8,12,4
2,1,1,7,40
3,10,3,1,88
8,2,52,2,58
9,2,1,2,3
2,1,1,1,1
1,45,2,7,1
1,1,4,2,1
2,3,1,9,36
1,2,71,10,1
2,19,3,1,1
2,8,1,198,4
2,1,1,18,33
1,1,160,3,66
39,5,2,15,2
2,4,22,2,7
1,1,24,1,6
8,20,145,18,2
9,4,9,1,19
60,1,80,33,2
3,13,7,1,1
18,5,126,1,4
10,1,112,4,1
1,69,3,16,1
2,5,48,31,13
76,16,1,1,2
214,10,1,47,7
1,1,10,1,1
2,4,96,3,39
13,1,1,2,2
4,2,1,1,25
4,1,59,9,1
1,178,3,2,3
1,1,85,3,43
2,1,3,3,1
197,5,20,2,10
4,20,1,1,68
37,2,3,10,48
5,2,1,12,1
24,2,40,20,5
29,28,6,2,1
2,12,4,1,4
64,2,17,1,1
13,1,1,1,17
1,16,1,2,3
1,2,1,40,5
1,1,21,5,59
117,1,153,1,1
73,26,1,7,1
3,3,3,4,12
33,1,2,2,70
21,26,16,15,222
3,1,1,1,3
8,10,10,2,5
5,5,35,4,6
5,6,25,1,19
8,5,1,1,1
1,2,1,1,9
33,1,1,3,1
1,2,2,16,9
2,1,1,1,17
1,1,1,1,4
1,1,1,1,1
9,1,1,64,1
8,1,1,1,12
12,1,1,4,1
2,1,1,4,68
3,1,1,6,38
6,1,1,7,2
1,2,6,3,5
1,1,75,12,1
9,5,2,8,43
3,15,2,43,1
1,1,54,1,76
1,4,48,5,1
2,5,7,33,2
1,6,8,4,1
2,17,5,14,2
1,2,15,4,37
7,2,42,1,39
5,11,5,1,3
5,1,106,1,2
1,24,7,6,14
2,3,2,8,34
1,3,2,2,9
324,11,24,1,5
9,16,164,3,2
2,38,1,5,1
36,185,4,31,1
2,100,3,1,15
1,1,30,9,1
5,3,1,34,33
1,44,17,1,1
1,3,1,190,14
1,3,20,3,6
1,3,1,5,1
1,13,1,12,24
1,1,113,2,5
2,3,43,1,2
1,1,2,1,14
5,3,36,4,2
1,12,44,1,1
19,3,1,66,1
127,3,184,5,1
2,28,156,4,1
3,1,5,19,39
4,1,24,2,2
48,8,50,16,2
1,1,34,1,1
2,2,106,1,191
1,1,2,1,38
1,1,12,16,6
2,16,1,127,1
1,1,135,13,4
5,131,1,7,1
2,15,7,7,22
11,1,1,3,1
2,51,1,23,9
1,9,66,7,70
17,1,4,4,3
2,4,12,22,1
1,2,1,2,1
11,3,4,3,1
1,9,25,1,1
6,1,3,16,6
7,1,176,1,1
206,10,2,33,1
17,7,3,1,1
2,2,143,1,18
1,3,2,1,1
67,1,4,1,15
1,12,5,1,54
4,2,1,1,188
1,3,71,1,10
2,34,11,1,6
1,2,1,36,61
2,3,2,1,1
13,45,1,1,80
187,4,1,43,5
1,1,1,13,1
2,1,2,12,14
25,2,1,7,1
1,21,5,1,2
3,1,2,1,1
6,1,1,52,42
66,1,2,1,7
14,1,3,1,16
1,1,34,1,1
3,5,40,3,15
1,1,12,2,2
1,16,4,1,5
1,6,5,3,10
72,3,2,1,4
4,2,6,209,15
1,14,25,1,7
2,1,2,2,13
20,4,2,1,5
25,46,15,3,56
121,117,1,1,2
62,1,1,9,3
28,1,2,4,3
11,56,72,34,1
30,17,40,6,1
24,5,28,1,49
1,1,7,2,3
1,1,1,5,6
3,1,21,2,1
16,3,32,2,1
16,2,1,1,1
19,1,3,1,3
1,2,125,1,7
7,11,1,5,11
1,11,6,1,1
2,11,42,31,16
2,4,1,1,4
1,12,32,3,1
4,60,11,1,10
6,37,1,20,166
7,1,10,1,1
10,14,12,2,3
11,2,1,20,1
2,7,189,1,6
2,1,9,40,1
2,13,1,1,45
1,30,40,23,1
5,1,2,44,5
2,1,1,1,6
2,3,70,1,9
1,24,9,5,248
6,1,65,24,1
1,21,1,7,9
1,46,3,3,16
104,208,4,1,54
10,110,5,2,52
1,1,2,1,11
1,14,1,11,4
276,1,29,1,1
4,5,123,2,5
1,7,17,2,1
4,9,3,52,182
24,1,19,1,2
1,59,1,1,8
11,2,12,7,10
5,2,21,21,44
14,2,83,1,6
1,53,41,1,12
4,24,1,139,23
1,1,11,9,4
2,1,9,3,3
1,1,32,2,2
1,6,8,1,16
1,1,23,1,1
3,2,2,13,3
2,5,3,1,12
1,161,3,2,11
1,35,13,1,4
1,4,1,1,1
1,48,2,15,6
2,1,37,1,6
27,14,1,1,3
1,1,1,1,1
1,1,8,1,7
1,2,3,1,1
5,2,5,1,1
1,1,1,3,1
40,10,11,22,4
7,3,68,2,60
83,2,2,1,8
4,10,5,1,59
3,1,1,1,5
1,3,1,6,1
2,3,3,1,2
8,7,36,2,9
5,1,7,1,10
71,11,140,319,9
4,4,1,1,1
1,51,3,3,1
1,6,36,1,2
2,27,2,2,22
1,4,3,1,24
12,1,2,13,1
1,6,79,1,1
14,1,208,3,8
1,13,1,1,4
1,1,3,1,148
1,3,29,1,1
1,3,12,1,58
1,15,12,14,2
1,16,6,6,1
15,51,110,12,27
2,48,3,1,157
1,2,182,1,294
184,1,132,1,7
1,94,6,2,3
9,1,23,1,28
1,30,5,1,14
1,13,16,19,1
66,105,100,10,1
1,12,2,6,135
9,1,5,25,1
3,1,119,20,1
4,1,3,49,1
1,1,22,12,71
6,3,2,1,5
80,1,2,3,1
2,1,1,39,1
2,1,1,1,1
1,1,7,1,2
1,1,1,1,32
1,1,54,8,35
19,1,1,1,2
2,2,1,27,3
3,1,11,3,1
4,1,1,2,87
6,15,1,1,3
131,4,70,39,251
5,3,74,1,13
2,5,3,1,3
1,5,2,25,5
39,8,4,1,1
3,3,22,1,12
10,1,46,1,1
2,1,11,72,7
1,3,12,1,15
17,1,1,7,1
10,3,1,5,2
1,1,1,6,1
4,1,1,8,19
1,5,1,2,7
3,1,1,31,101
13,5,1,2,20
1,29,1,3,1
6,2,1,1,109
1,1,1,1,1
1,71,1,1,6
2,43,1,31,22
1,1,67,2,5
11,2,1,8,17
1,2,3,1,1
4,1,106,152,3
10,1,28,1,2
12,17,1,1,48
2,2,2,10,1
1,36,55,55,8
2,18,2,1,31
4,1,4,4,1
1,2,4,2,38
4,3,87,4,18
2,1,1,1,1
11,1,184,1,14
1,29,3,69,4
1,7,28,72,2
21,19,1,13,1
128,1,4,1,1
5,1,53,34,1
3,1,200,4,1
4,1,4,1,2
174,2,72,4,18
2,11,18,1,1
13,104,173,1,14
11,1,117,6,1
2,12,44,13,20
25,1,1,5,18
3,1,1,17,3
1,32,10,11,2
3,1,144,3,6
1,2,1,1,51
1,5,1,11,1
3,51,31,1,2
1,34,2,4,10
4,1,1,1,12
1,56,136,1,7
1,1,1,1,9
1,1,9,1,1
1,3,46,2,3
1,31,70,1,29
1,1,2,1,2
1,3,6,1,2
1,5,19,1,1
1,1,1,1,8
5,1,3,1,1
88,2,16,1,108
1,3,192,1,31
1,12,1,16,1
16,4,6,16,1
22,29,5,1,10
1,3,76,1,1
6,1,1,17,1
1,5,5,1,1
1,1,16,2,5
1,1,58,1,2
56,5,7,13,1
2,185,1,290,1
1,110,1,1,2
16,18,1,1,1
1,1,1,1,5
1,1,1,3,1
2,1,2,1,2
1,6,1,8,1
1,1,1,1,4
1,1,1,1,6
14,1,20,1,1
1,1,62,4,2
21,1,1,2,1
8,4,32,8,1
2,2,11,1,1
2,17,4,2,1
4,1,6,2,1
1,25,28,1,10
10,1,30,1,2
10,1,56,1,1
3,10,3,1,1
8,2,2,1,1
4,1,1,5,1
2,42,23,1,1
1,134,89,3,1
10,2,3,1,1
5,16,1,1,2
14,46,25,2,1
1,1,23,5,1
1,1,60,35,17
12,9,41,1,1
27,5,31,37,6
1,1,28,2,1
2,29,1,35,67
8,1,72,1,2
1,21,85,22,382
62,4,6,4,4
5,13,14,1,2
4,32,65,19,1
1,2,12,1,79
1,11,71,23,2
4,5,3,3,16
5,17,53,1,1
3,36,7,4,7
151,28,1,1,11
2,1,1,1,1
1,2,37,2,2
1,4,2,2,3
2,1,5,1,5
1,1,2,3,1
4,1,22,3,4
118,1,102,4,2
1,1,5,3,2
26,8,1,31,17
2,4,8,2,1
1,1,2,1,1
1,1,4,1,2
1,6,1,4,1
1,1,1,6,2
2,1,44,40,2
1,18,2,1,1
1,22,1,4,23
9,2,1,16,4
1,26,1,1,3
1,35,1,2,13
22,2,3,5,16
10,23,3,13,1
7,2,1,1,2
46,31,16,1,1
2,1,37,3,4
1,1,6,1,5
1,6,1,13,1
1,2,1,12,1
18,12,6,1,3
7,40,2,1,19
78,126,5,3,3
73,69,24,43,53
2,4,23,9,5
21,2,4,97,48
27,3,15,2,1
11,52,24,11,26
12,1,1,6,1
2,4,39,29,4
153,3,45,1,1
7,3,22,1,83
4,1,1,11,9
4,2,3,105,1
85,6,3,1,4
18,4,14,5,57
5,3,26,129,8
1,25,1,1,2
37,1,6,3,3
8,4,53,1,1
2,5,5,19,1
3,1,1,1,86
1,4,24,16,4
2,15,9,49,1
2,2,7,1,15
1,1,2,1,59
12,1,2,1,3
6,10,2,1,1
1,143,4,5,1
2,49,102,8,19
34,2,3,19,2
1,9,2,6,32
16,3,1,1,1
1,1,19,3,5
1,1,8,15,3
1,75,57,13,54
2,1,4,7,243
79,3,54,1,2
1,23,3,19,6
1,1,1,7,57
1,12,1,3,28
3,1,3,12,1
3,1,1,1,1
1,13,3,1,3
2,2,60,2,87
8,5,152,1,15
5,2,13,3,3
6,28,6,1,2
6,2,12,1,1
2,9,9,3,356
255,1,21,1,1
2,33,117,1,2
11,5,68,1,1
2,26,1,1,20
1,7,14,34,10
1,2,9,85,12
1,4,42,1,2
1,2,2,20,1
2,11,30,3,1
6,161,1,2,8
1,2,16,3,8
1,1,2,1,3
1,1,8,13,15
1,3,70,2,8
2,5,1,4,3
1,4,2,1,2
9,1,2,2,6
165,17,5,1,4
1,6,1,1,31
1,3,2,3,1
3,2,11,5,1
1,8,64,7,4
3,1,4,81,3
7,4,6,1,13
11,1,1,1,2
8,2,40,1,1
3,4,4,1,1
1,10,94,3,13
1,26,2,30,1
2,18,1,1,3
1,3,1,3,18
4,3,35,1,37
1,12,1,1,5
3,1,11,28,2
1,1,1,1,3
28,2,2,10,98
9,1,2,1,4
31,1,94,1,3
1,2,1,5,7
200,1,174,1,7
3,1,35,13,2
2,1,16,2,4
57,1,22,1,1
1,2,9,1,21
11,2,98,6,1
4,1,6,37,9
2,2,1,1,1
4,9,164,2,8
92,52,91,1,12
366,3,2,1,1
2,1,30,1,2
2,7,3,1,1
7,1,3,3,1
4,4,79,9,320
1,14,1,6,9
4,1,1,2,58
141,1,83,2,21
2,3,2,1,13
68,14,51,1,1065
1,2,3,9,3
18,1,2,7,1
44,1,6,1,1
1,9,2,1,6
2,12,43,1,1
1,41,1,14,2
81,170,10,1,26
27,68,50,1,3
3,13,1,5,2
1,2,81,18,33
1,7,1,1,4
2,3,1,1,2
235,13,1,1,3
1,1,1,20,3
126,4,3,2,50
1,13,17,1,1
2,1,33,277,2
1,9,7,28,1
30,17,11,2,5
9,2,1,15,1
24,7,1,1,2
6,1,1,16,8
1,1,2,9,2
18,4,2,3,137
3,1,1,2,2
45,98,1,16,1
5,28,48,18,9
1,2,2,4,5
1,24,39,3,9
4,1,28,66,63
12,5,1,2,6
9,1,1,1,5
8,4,37,1,1
1,1,4,4,1
29,1,12,3,11
7,1,57,2,29
1,2,2,2,1
2,9,2,9,2
1,8,3,15,1
1,1,1,1,1
2,4,115,1,1
1,2,1,1,3
3,6,23,1,4
1,6,12,2,1
4,1,22,18,1
4,2,103,2,1
3,1,5,10,22
52,30,38,2,12
15,1,12,48,1
14,29,123,1,7
1,5,74,1,40
14,1,21,1,5
1,5,1,1,24
1,7,2,4,40
462,4,19,1,1
11,9,88,7,119
24,6,2,1,1
9,14,1,24,11
2,1,16,2,43
2,2,3,1,5
1,3,78,2,1
4,37,1,2,6
6,73,8,1,2
1,5,19,1,118
1,35,45,2,3
6,9,1,3,10
1,1,5,6,29
1,1,16,2,1
1,4,1,1,3
1,6,112,35,23
1,1,1,1,3
4,3,3,1,4
22,2,1,1,1
6,12,42,19,3
9,13,1,55,1
163,46,1,1,1
2,1,10,10,2
3,4,1,3,85
2,1,20,4,5
1,2,7,14,1
2,23,1,62,1
1,20,1,1,1
1,1,2,4,28
44,1,1,3,1
3,8,1,8,4
4,1,1,6,2
1,8,1,10,1
1,47,1,4,9
1,162,1,1,1
2,79,7,1,15
1,12,22,24,23
1,1,4,5,1
5,8,3,72,18
2,10,42,1,1
1,3,39,8,1
7,2,13,7,5
1,62,1,5,12
2,3,1,9,314
2,1,2,42,24
167,4,3,8,4
3,3,1,7,4
59,25,5,1,2
1,6,35,20,37
4,1,77,1,1
4,1,1,4,1
1,5,11,3,1
8,2,16,3,1
118,1,18,1,8
1,2,3,2,1
1,114,33,2,22
16,23,54,5,3
1,1,19,1,1
1,28,3,16,9
23,3,5,13,97
11,14,1,2,2
1,8,13,228,14
1,9,29,5,18
58,6,1,23,2
12,18,1,1,1
1,1,6,9,1
2,2,53,1,9
25,8,8,3,1
11,4,1,1,2
57,1,25,8,4
2,9,1,1,5
41,17,1,33,1
9,1,3,12,3
7,2,8,5,1
18,1,3,9,1
17,3,3,1,5
1,17,1,1,4
1,1,3,1,31
5,5,82,5,50
23,11,6,12,68
10,3,20,88,52
7,1,1,6,2
2,21,1,4,2
2,1,23,12,1
3,4,2,1,1
2,1,1,1,3
1,19,109,11,1
1,19,1,1,1
3,35,1,1,1
2,53,2,1,1
8,11,40,37,1
15,1,4,1,2
3,2,62,5,8
4,64,163,21,375
1,1,1,1,5
4,9,7,34,2
1,16,13,1,1
2,1,1,1,1
1,1,23,1,1
1,60,2,1,3
4,7,8,9,4
1,1,55,1,1
2,1,1,1,2
1,1,160,1,1
79,3,107,1,2
2,1,2,1,2
1,1,25,1,1
1,1,22,19,1
216,1,49,10,19
2,1,1,1,1
14,4,11,3,1
1,2,70,3,1
6,6,15,1,9
3,3,1,11,1
1,1,1,50,1
14,4,1,3,3
1,4,1,2,1
1,3,7,12,1
1,1,1,1,1
1,3,1,2,1
1,1,87,38,1
1,3,1,2,1
1,3,1,1,1
1,1,1,7,1
1,1,3,5,1
14,3,1,4,1
1,2,9,2,1
1,2,2,2,1
1,13,1,1,2
2,6,8,6,1
29,58,18,1,1
4,49,61,1,13
59,2,5,1,25
2,1,11,3,8
2,1,1,1,2
1,2,1,42,19
2,3,1,1,6
2,1,1,1,2
2,1,1,10,3
61,1,1,2,3
1,2,1,7,2
2,9,1,4,100
6,30,2,1,1
2,2,1,1,2
7,13,4,1,10
2,1,50,15,1
1,2,1,39,9
1,22,82,1,1
1,11,7,2,1
2,1,3,22,7
1,18,25,1,1
2,4,1,20,1
1,1,11,2,1
2,1,1,12,89
1,1,8,1,3
114,2,77,1,1
4,2,2,1,1
58,1,137,2,9
3,18,1,1,1
6,54,22,1,10
2,5,13,2,53
2,41,56,79,1
52,9,6,3,6
1,1,80,1,1
4,38,8,15,1
5,1,118,23,3
6,36,82,2,2
1,49,26,2,1
4,2,1,253,3
6,5,11,1,9
12,1,75,9,2
83,2,1,6,28
1,10,47,2,7
4,3,63,8,1
26,1,7,48,5
17,2,4,1,40
13,1,1,1,17
6,8,27,12,1
3,1,1,1,1
2,1,15,1,62
1,12,1,2,3
1,2,43,22,1
1,1,1,1,1
12,9,2,1,4
1,1,82,1,3
5,2,1,1,62
11,105,2,29,2
2,49,3,1,17
5,1,1,3,1
6,13,1,6,1
2,1,10,165,3
1,1,29,2,1
2,1,8,3,13
3,1,4,1,1
1,6,1,20,3
1,1,1,8,12
1,2,1,2,5
3,5,1,1,5
1,5,1,29,1
2,2,1,2,4
121,2,2,9,2
6,14,1,1,26
1,2,1,1,1
1,48,1,35,3
166,6,58,3,6
12,1,1,2,2
21,1,44,1,9
14,4,36,1,20
2,2,1,1,1
31,11,2,1,2
4,72,3,51,4
1,2,1,1,27
2,10,46,1,6
1,19,5,1,3
2,1,1,1,18
1,1,54,1,32
1,1,4,37,21
1,4,1,1,13
4,1,5,14,10
1,41,151,19,17
73,1,3,1,5
1,17,17,3,24
21,3,5,1,7
4,6,21,54,2
1,17,95,4,12
84,15,21,1,179
2,5,29,1,1
1,10,16,3,9
2,18,1,213,3
40,15,122,1,1
1,3,106,2,20
1,9,1,1,3
1,5,17,4,6
2,2,1,7,11
18,2,11,3,53
1,1,1,5,1
3,8,26,4,1
1,1,78,4,1
30,1,19,8,14
1,1,70,1,1
43,1,12,2,20
2,1,1,1,5
1,1,36,17,14
25,12,3,1,11
16,23,3,1,1
8,2,1,1,3
3,13,1,2,1
1,7,8,3,4
2,10,2,4,2
3,2,146,50,9
4,23,1,2,8
36,5,2,1,1
10,1,119,1,1
3,1,5,1,45
4,31,17,15,1
1,1,4,1,1
1,11,1,1,12
33,23,2,1,1
4,35,1,17,2
13,98,1,57,1
1,1,1,18,8
1,92,3,62,1
1,3,2,5,10
10,1,3,13,1
5,8,6,6,1
13,27,,1,1
2,22,,3,3
9,1,,1,14
1,4,,1,228
35,1,,1,1
1,4,,2,37
13,3,,1,47
1,5,,4,4
2,2,,17,11
1,2,,14,144
119,10,,1,1
1,18,,76,1
7,23,,1,1
12,4,,13,30
1,4,,2,2
3,1,,3,2
2,2,,4,2
1,77,,20,4
2,20,,1,36
275,24,,1,1
4,1,,1,33
2,18,,1,12
1,55,,1,1
1,3,,1,2
12,4,,6,9
1,1,,1,2
1,23,,1,1
2,11,,1,2
10,1,,1,1
