CoreFX,CoreCLR,Roslyn,Rust,Kubernetes,KubernetesSum
,,,6,1069,0.0134504322
8,,,3,1046,0.0266114725
,,,,1032,0.03959636121
19,3,32,82,1014,0.0523547693
,,,,910,0.06380462272
,,,,638,0.07183210237
,,,,388,0.07671401789
1,2,52,1,354,0.08116813669
,,,,289,0.08480440882
,,,,276,0.08827711162
9,16,1,13,275,0.09173723216
,,,,273,0.09517218818
,,,,261,0.09845615713
10,2,,1,258,0.1017023793
1,81,28,12,226,0.1045459693
,,,,201,0.1070750028
49,9,65,4,185,0.1094027203
,,,,163,0.1114536281
,,,1,158,0.1134416246
3,52,30,48,149,0.1153163808
34,13,23,28,145,0.117140808
,,,,145,0.1189652352
,,,,144,0.1207770802
,,,,143,0.1225763428
4,1,50,2,140,0.1243378588
27,2,,24,138,0.1260742101
,,,,136,0.127785397
,,,,133,0.1294588371
,,,,132,0.131119695
50,4,1,7,131,0.1327679706
,,,,130,0.134403664
,,,,125,0.135976446
,,,,122,0.1375114813
16,2,30,48,119,0.1390087698
4,20,,5,116,0.1404683116
14,1,,13,116,0.1419278533
,,,10,116,0.1433873951
75,46,5,1,114,0.1448217723
6,3,,31,112,0.1462309851
,,,,111,0.1476276155
1,6,,24,110,0.1490116638
2,,,1,110,0.150395712
20,,,1,107,0.1517420134
,,,,107,0.1530883149
15,,,15,106,0.154422034
,,,,105,0.155743171
1,4,,3,103,0.1570391434
10,1,,7,101,0.1583099513
,,,,101,0.1595807592
1,1,,49,100,0.1608389849
,,,,100,0.1620972105
,,,,99,0.1633428539
,,,,99,0.1645884973
24,3,1,1,97,0.1658089762
1,2,,7,97,0.1670294551
2,15,,23,96,0.1682373517
,,,,96,0.1694452483
,,,,94,0.1706279804
,,,,94,0.1718107125
,,,,93,0.1729808624
24,1,7,22,92,0.17413843
,,,,92,0.1752959976
58,1,1,29,91,0.1764409829
1,35,27,1,91,0.1775859683
,,,,91,0.1787309536
,,,,90,0.1798633567
,,,,89,0.1809831775
18,3,6,7,88,0.1820904161
,,,,88,0.1831976547
,,,,88,0.1843048932
7,6,1,4,86,0.1853869673
,,,,86,0.1864690414
65,8,57,1,85,0.1875385332
66,5,12,15,84,0.1885954427
,,,,84,0.1896523523
1,11,1,22,82,0.1906840973
,,,,82,0.1917158423
,,,,82,0.1927475874
1,41,59,2,81,0.1937667501
,,,29,81,0.1947859129
,,,,81,0.1958050757
,,,,81,0.1968242385
1,12,18,1,80,0.197830819
28,19,2,1,79,0.1988248172
1,7,1,41,79,0.1998188155
6,1,,7,79,0.2008128138
1,33,,1,79,0.201806812
,,,,79,0.2028008103
,,,,78,0.2037822263
,,,,78,0.2047636423
,,,,78,0.2057450583
6,3,22,7,76,0.2067013098
8,,,29,76,0.2076575613
,,,,76,0.2086138128
,,,,76,0.2095700643
52,1,3,13,75,0.2105137335
17,1,36,1,75,0.2114574028
,,,,75,0.212401072
1,2,22,59,74,0.213332159
2,1,28,22,74,0.214263246
23,,,1,74,0.215194333
,,,,74,0.2161254199
,,,,73,0.2170439247
,,,,73,0.2179624294
,,,,73,0.2188809341
1,80,45,1,72,0.2197868566
34,10,,3,72,0.220692779
,,,,72,0.2215987015
4,14,10,27,71,0.2224920417
23,1,55,1,71,0.2233853819
14,2,,1,71,0.2242787221
21,1,,27,70,0.2251594801
9,2,,21,70,0.2260402381
1,,,34,70,0.226920996
,,,1,69,0.2277891717
,,,,69,0.2286573474
,,,,69,0.2295255231
,,,,69,0.2303936988
24,1,,14,68,0.2312492922
23,,,13,68,0.2321048857
,,,,68,0.2329604791
,,,,68,0.2338160726
,,,,68,0.234671666
,,,8,67,0.2355146772
,,,,67,0.2363576884
,,,,67,0.2372006996
,,,,67,0.2380437108
,,,,67,0.2388867219
,,,,67,0.2397297331
,,,,67,0.2405727443
7,19,2,76,66,0.2414031732
,,,1,66,0.2422336022
,,,,66,0.2430640311
1,41,25,1,65,0.2438818778
29,2,,1,65,0.2446997244
17,35,,18,65,0.2455175711
,,,,65,0.2463354178
,,,,65,0.2471532645
3,16,8,3,64,0.2479585289
2,1,25,23,64,0.2487637933
67,1,3,11,64,0.2495690577
2,18,,1,64,0.2503743221
8,1,,51,64,0.2511795865
3,1,,2,64,0.251984851
,,,,64,0.2527901154
,,,,64,0.2535953798
,,,,64,0.2544006442
,,,,64,0.2552059086
8,2,18,5,63,0.2559985908
5,14,,24,63,0.2567912729
,,,13,63,0.2575839551
,,,,63,0.2583766373
,,,,63,0.2591693194
,,,,63,0.2599620016
,,,,63,0.2607546837
5,29,,24,62,0.2615347836
,,,,62,0.2623148836
,,,,62,0.2630949835
22,37,31,5,61,0.2638625011
1,,,5,61,0.2646300187
,,,,61,0.2653975364
30,3,,3,60,0.2661524718
36,51,,2,60,0.2669074072
2,,,53,60,0.2676623426
,,,,60,0.268417278
,,,,60,0.2691722133
,,,,60,0.2699271487
,,,,60,0.2706820841
1,14,9,9,59,0.2714244373
24,10,,1,59,0.2721667904
,,,,59,0.2729091435
,,,,59,0.2736514967
10,16,33,1,58,0.2743812675
7,1,17,5,58,0.2751110384
5,5,6,33,58,0.2758408093
,,,35,58,0.2765705802
,,,,58,0.277300351
,,,,58,0.2780301219
,,,,58,0.2787598928
,,,,58,0.2794896637
,,,,58,0.2802194346
76,3,1,1,57,0.2809366232
1,2,,1,57,0.2816538118
31,1,,2,57,0.2823710004
2,,,7,57,0.283088189
,,,,57,0.2838053777
,,,,57,0.2845225663
,,,,57,0.2852397549
,,,,57,0.2859569435
,,,27,56,0.2866615499
,,,,56,0.2873661562
,,,,56,0.2880707626
,,,,56,0.288775369
,,,,56,0.2894799753
22,1,1,1,55,0.2901719994
10,30,,1,55,0.2908640236
,,,9,55,0.2915560477
,,,,55,0.2922480718
,,,,55,0.2929400959
,,,,55,0.29363212
,,,,55,0.2943241441
49,2,26,4,54,0.2950035859
3,4,,1,54,0.2956830278
1,3,,19,54,0.2963624696
2,23,,7,54,0.2970419115
2,1,,32,54,0.2977213533
,,,32,54,0.2984007952
,,,,54,0.299080237
,,,,54,0.2997596789
3,8,15,3,53,0.3004265385
9,26,88,3,53,0.3010933981
4,37,,2,53,0.3017602577
,,,1,53,0.3024271173
,,,,53,0.3030939769
,,,,53,0.3037608365
3,48,61,25,52,0.3044151138
5,2,,1,52,0.3050693911
1,,,21,52,0.3057236685
,,,3,52,0.3063779458
,,,12,52,0.3070322232
,,,,52,0.3076865005
,,,,52,0.3083407778
,,,,52,0.3089950552
,,,,52,0.3096493325
,,,,52,0.3103036098
,,,,52,0.3109578872
,,,,52,0.3116121645
,,,,52,0.3122664419
,,,,52,0.3129207192
27,3,1,36,51,0.3135624143
1,21,1,6,51,0.3142041094
1,15,,23,51,0.3148458044
21,2,,57,51,0.3154874995
6,2,,2,51,0.3161291946
10,,,9,51,0.3167708897
,,,40,51,0.3174125848
,,,,51,0.3180542799
