CoreFX,CoreCLR,Roslyn,Rust,Kubernetes
1,5,5,1,1
8,24,29,1,5
3,1,1,1,6
2,1,15,1,1
2,1,8,7,10
12,3,8,1,6
21,5,8,1,168
4,4,2,7,139
1,1,9,1,3
2,11,25,4,1
14,4,5,3,3
39,18,15,1,220
16,43,1,1,332
1,1,9,1,4
28,1,35,9,1
3,61,49,2,13
2,37,30,95,22
1,2,12,1,41
1,1,1,2,43
1,9,23,2,25
12,9,25,1,1
8,4,2,14,8
1,18,4,1,77
1,25,30,2,2
1,4,3,1,59
7,5,21,20,3
24,2,1,11,8
43,6,28,2,1
4,1,1,3,1
34,25,12,10,4
6,7,1,1,46
11,1,7,8,2
6,4,1,130,1
27,4,12,1,2
3,1,20,1,76
8,4,2,1,7
1,17,25,2,1
1,17,6,12,1
3,10,1,2,5
1,3,2,1,1
1,1,6,2,3
1,16,14,3,17
4,1,4,4,3
1,1,3,2,4
93,2,89,1,12
1,21,1,21,2
1,4,46,12,1
1,42,16,1,1
85,4,1,5,11
10,44,1,1,9
11,1,3,1,3
1,96,10,1,1
6,14,2,1,1
2,1,22,2,1
3,2,59,71,11
6,27,46,3,2
1,1,14,399,14
1,3,19,40,5
27,6,13,1,3
1,17,1,1,12
1,1,7,1,1
1,1,1,1,1
2,8,10,6,75
8,2,78,1,1
9,3,43,2,14
42,1,2,1,2
1,129,1,1,12
3,85,21,1,2
1,9,9,2,25
1,3,5,1,1
60,1,1,7,14
3,7,19,26,4
9,1,39,2,1
22,4,3,1,204
31,2,2,5,2
73,1,3,17,1
40,22,20,1,2
1,34,1,1,3
1,1,1,18,14
1,25,8,1,1
1,3,53,2,1
1,21,5,11,1
6,1,1,8,47
33,59,12,2,2
5,1,2,1,27
7,10,15,1,7
13,16,4,7,3
1,1,4,384,1
1,2,2,1,1
1,29,5,2,11
71,1,35,2,48
4,7,5,2,6
2,3,17,1,4
2,7,1,1,10
45,9,1,1,3
16,4,1,3,1
2,23,1,3,15
49,1,1,1,1
3,35,1,2,6
3,22,1,3,1
14,1,2,2,2
10,6,30,2,1
2,1,2,1,32
3,1,3,3,3
9,1,145,2,1
9,1,1,6,4
21,1,1,28,1
31,5,3,5,1
1,1,11,1,2
5,1,24,1,182
1,1,1,5,1
1,1,4,4,115
34,1,14,17,2
1,4,103,5,1
26,3,120,6,37
1,1,1,13,1
3,20,3,1,5
5,21,33,3,1
2,2,53,41,1
61,9,3,6,10
1,7,3,1,145
1,1,26,42,1
3,1,1,6,4
8,1,106,2,255
55,17,146,3,1
1,11,7,10,8
3,1,5,4,1
2,9,23,1,3
1,70,106,8,1
1,1,14,4,30
6,63,148,1,6
30,84,1,1,78
8,2,2,4,59
10,2,26,18,77
2,6,1,5,1
7,18,3,124,10
6,5,2,33,1
419,1,15,4,25
1,11,1,14,1
2,27,6,2,1
15,2,92,1,6
1,1,5,2,12
6,4,2,1,41
1,1,2,6,1
1,2,16,2,2
6,4,16,2,2
1,4,1,7,4
11,3,10,1,28
1,1,2,3,1
6,36,1,32,1
14,12,36,1,3
8,1,30,2,1
56,5,18,302,1
127,3,8,25,8
3,2,1,10,1
4,15,1,2,1
3,218,1,22,28
3,147,1,1,1
24,1,1,13,29
4,12,4,4,1
1,5,2,25,1
